"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.803250052E-3,-3.523013212E-2,2.775303708E-2,4.353942025E-1,4.376979607E-1
8.144750027E-3,-7.754613943E-3,2.216944863E-2,1.561013621E-1,1.578583344E-1
1.809374988E-2,6.214780765E-2,5.624930095E-4,-4.068551123E-2,7.428308837E-2
2.804174996E-2,7.992606584E-2,-4.743380109E-3,-1.948590463E-1,2.106673292E-1
3.799075005E-2,2.601943357E-2,-4.154638583E-3,-4.868625641E-2,5.535904179E-2
4.793874989E-2,-3.576358091E-3,2.210710726E-2,1.702299893E-1,1.716967204E-1
5.788774998E-2,-1.578247558E-2,2.153334922E-2,2.026984084E-1,2.044490558E-1
6.783675007E-2,3.119918955E-2,1.390249068E-2,1.044353646E-1,1.098790883E-1
7.778474991E-2,6.177546792E-2,1.164884130E-2,-5.218055248E-2,8.169892287E-2
8.773375000E-2,7.214522165E-2,-2.622348312E-3,-6.729034245E-2,9.869042459E-2
9.768175008E-2,7.631086031E-2,8.360705255E-3,2.391452730E-2,8.040617768E-2
1.076307499E-1,4.947073348E-2,1.107912149E-2,1.245287365E-1,1.344526185E-1
1.175787500E-1,3.755553324E-2,6.553349169E-3,1.260104209E-1,1.316510184E-1
1.275277499E-1,2.247528998E-2,-1.014454000E-2,5.068775833E-2,5.636753672E-2
1.374767500E-1,4.428259039E-2,-1.559692699E-2,5.472409129E-3,4.726689333E-2
1.474247500E-1,2.083423236E-2,-1.701852215E-2,5.042638779E-3,2.737012131E-2
1.573737499E-1,7.531816754E-3,-7.277193354E-3,7.092555642E-2,7.169463272E-2
1.673217500E-1,2.166484762E-2,-3.105977001E-3,1.017631871E-1,1.040901482E-1
1.772707500E-1,4.136466533E-2,-2.394233812E-3,7.360241175E-2,8.446350045E-2
1.872187499E-1,5.517447308E-2,5.346419904E-3,2.613120675E-2,6.128333094E-2
1.971677500E-1,6.845284201E-2,1.586693587E-2,5.174201131E-3,7.045795619E-2
2.071167501E-1,5.811507437E-2,9.025794058E-3,3.587383747E-2,6.888946975E-2
2.170647499E-1,4.852913076E-2,1.300736876E-2,6.477487028E-2,8.197592326E-2
2.270137500E-1,4.046910943E-2,9.730027230E-3,8.048984706E-2,9.061477655E-2
2.369617501E-1,3.384225894E-2,1.211504711E-2,5.982461751E-2,6.979296323E-2
2.469107499E-1,1.834896471E-2,-4.442467773E-3,2.329764605E-2,2.998666933E-2
2.568587500E-1,3.158305926E-2,1.969438163E-3,4.201282918E-2,5.259701641E-2
2.668077499E-1,3.986419670E-2,-7.209160086E-4,6.506547689E-2,7.630983018E-2
2.767567500E-1,3.192651009E-2,3.939881315E-4,4.994633138E-2,5.927978822E-2
2.867047500E-1,3.573066291E-2,-1.154089621E-3,5.263429642E-2,6.362689176E-2
2.966537499E-1,5.110208837E-2,-1.092477784E-2,6.071397901E-2,8.010593894E-2
3.066017500E-1,3.948555294E-2,1.367476447E-3,2.539094925E-2,4.696465891E-2
