"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.309208201E-3,-2.768713622E-1,6.777549690E-2,4.944288611E-1,5.707111072E-1
1.325720828E-2,-1.134287751E-1,7.092266022E-2,4.176549196E-2,1.401444508E-1
2.320620837E-2,-5.749790990E-2,1.677274381E-2,-2.885934216E-1,2.947431043E-1
3.315420821E-2,-4.014777753E-2,1.295075241E-2,-2.809452635E-1,2.840947150E-1
4.310320830E-2,-1.087422409E-1,5.031337664E-2,3.775254786E-2,1.256247018E-1
5.305120838E-2,-1.413396094E-1,7.684398020E-2,3.145182216E-1,3.532755217E-1
6.300020823E-2,-1.272181999E-1,7.011153721E-2,2.429547340E-1,2.830673079E-1
7.294820831E-2,-6.376002205E-2,3.732327544E-2,7.290542364E-2,1.037958000E-1
8.289720840E-2,-2.363697413E-2,1.620396961E-2,-1.209379613E-1,1.242870294E-1
9.284520824E-2,-6.382719194E-2,1.699860393E-3,-1.270652586E-1,1.422054145E-1
1.027942083E-1,-1.235679750E-1,3.010493340E-2,5.645837545E-2,1.391506364E-1
1.127422084E-1,-1.933013481E-1,4.996173514E-2,1.679723793E-1,2.609143660E-1
1.226912083E-1,-2.001563131E-1,6.806747852E-2,1.773963368E-1,2.759804189E-1
1.326392083E-1,-1.534481515E-1,5.186171021E-2,5.554620981E-2,1.712347908E-1
1.425882082E-1,-8.737878073E-2,5.446694628E-2,-4.399503529E-2,1.119699187E-1
1.525362083E-1,-4.611820954E-2,4.921849921E-2,-3.426117539E-2,7.565168905E-2
1.624852084E-1,-4.560130198E-2,7.119694489E-2,4.058552384E-2,9.378522511E-2
1.724332082E-1,-6.779879440E-2,7.041295204E-2,1.176734608E-1,1.529761541E-1
1.823822083E-1,-1.060779297E-1,6.217356280E-2,1.019549757E-1,1.597275686E-1
1.923302084E-1,-1.199675611E-1,5.021879793E-2,4.103225112E-2,1.363737108E-1
2.022792082E-1,-1.380378512E-1,3.811036777E-2,2.266380787E-3,1.432200578E-1
2.122272083E-1,-1.430856062E-1,2.755307372E-2,2.996113300E-2,1.487626703E-1
2.221762084E-1,-1.352660334E-1,2.340169679E-2,7.875907123E-2,1.582641163E-1
2.321242082E-1,-1.218261443E-1,2.578041264E-2,8.938463151E-2,1.532835655E-1
2.420732083E-1,-8.762376079E-2,2.744719572E-2,5.136252701E-2,1.052111267E-1
2.520212084E-1,-7.178573666E-2,3.838803513E-2,1.918062150E-2,8.363449929E-2
2.619702083E-1,-6.329714184E-2,4.794731453E-2,2.576984882E-2,8.348388014E-2
2.719182083E-1,-6.482614762E-2,5.282696674E-2,4.837401509E-2,9.660829760E-2
2.818672082E-1,-8.658408931E-2,5.900347200E-2,7.442043722E-2,1.285169861E-1
2.918152083E-1,-1.132033193E-1,6.501098815E-2,5.885339499E-2,1.431961668E-1
3.017642084E-1,-1.249800502E-1,6.898376919E-2,5.107016623E-2,1.516144295E-1
3.117122082E-1,-1.406933824E-1,5.968790229E-2,3.984468162E-2,1.579394574E-1
3.216612083E-1,-1.318222975E-1,4.472356638E-2,4.658067405E-2,1.467892186E-1
3.316092084E-1,-1.112055541E-1,4.375757895E-2,5.286701560E-2,1.306764031E-1
3.415582082E-1,-8.414999393E-2,4.356198502E-2,5.136895895E-2,1.077851472E-1
3.515062083E-1,-6.951857015E-2,3.631101734E-2,5.346518576E-2,9.492021737E-2
3.614552084E-1,-7.087501455E-2,2.443655575E-2,3.939561546E-2,8.469018516E-2
3.714032082E-1,-8.873081231E-2,3.224230542E-2,3.790048242E-2,1.017308698E-1
3.813522083E-1,-8.970507720E-2,3.440288358E-2,4.897861719E-2,1.078399936E-1
3.913002084E-1,-1.103934946E-1,3.336891084E-2,5.751087427E-2,1.288708987E-1
4.012492083E-1,-1.325388646E-1,5.492873470E-2,5.990647852E-2,1.554750871E-1
4.111972083E-1,-1.328049403E-1,5.605391715E-2,4.463881373E-2,1.509033382E-1
4.211462082E-1,-1.215037343E-1,7.043008712E-2,4.883068264E-2,1.486875589E-1
4.310942083E-1,-9.927078397E-2,6.915797054E-2,4.478908718E-2,1.290099832E-1
4.410432084E-1,-9.158976272E-2,6.777356001E-2,6.155363917E-2,1.295020871E-1
4.509912082E-1,-6.475046729E-2,6.395112093E-2,4.823134303E-2,1.029982103E-1
4.609402083E-1,-7.142967777E-2,5.043632349E-2,4.478967190E-2,9.824528641E-2
4.708882084E-1,-7.716046988E-2,3.948286688E-2,4.359450102E-2,9.702121113E-2
4.808372082E-1,-1.016823310E-1,3.270595307E-2,5.287695587E-2,1.191845136E-1
4.907852083E-1,-1.281086577E-1,2.875374236E-2,5.796695709E-2,1.435227299E-1
5.007342084E-1,-1.388942124E-1,3.455047552E-2,6.814579010E-2,1.585218796E-1
5.106822082E-1,-1.347230281E-1,3.243546682E-2,5.661975861E-2,1.496935231E-1
5.206312083E-1,-1.176019421E-1,3.471919511E-2,3.820804596E-2,1.284347853E-1
5.305792084E-1,-9.192591366E-2,4.923083318E-2,5.572162628E-2,1.182326020E-1
5.405282083E-1,-7.704658622E-2,5.502255967E-2,3.880738556E-2,1.023214137E-1
5.504762083E-1,-6.488612269E-2,6.175381038E-2,4.299983919E-2,9.936160317E-2
5.604252082E-1,-5.319396632E-2,6.533053849E-2,5.572396517E-2,1.010090966E-1
5.703732083E-1,-7.194659448E-2,6.511632940E-2,5.377918124E-2,1.109443516E-1
5.803222083E-1,-1.072230064E-1,5.311743175E-2,4.150646031E-2,1.266531520E-1
5.902700834E-1,-1.214558967E-1,5.053341924E-2,4.090887487E-2,1.377631930E-1
