"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.772916600E-3,-1.183359138E-1,1.105192098E-1,8.982276338E-1,9.127051914E-1
1.572091668E-2,5.631267015E-2,6.764279708E-2,1.124916583E-1,1.428322023E-1
2.566991677E-2,1.407067579E-1,-1.604462271E-2,-4.229788095E-1,4.460570534E-1
3.561891662E-2,2.159975715E-1,1.619845016E-2,-3.986754423E-1,4.537173669E-1
4.556691670E-2,1.367207476E-1,6.530529039E-2,-5.239222169E-2,1.603193334E-1
5.551591679E-2,4.807721408E-2,1.148422390E-1,4.118269998E-1,4.302343967E-1
6.546491664E-2,4.405091275E-2,1.445042139E-1,4.058318496E-1,4.330374590E-1
7.541291672E-2,6.924618127E-2,8.670411254E-2,4.702740133E-2,1.205164438E-1
8.536191657E-2,1.606907869E-1,6.044413457E-2,-1.953034347E-1,2.600354860E-1
9.531091666E-2,1.354998124E-1,3.813992133E-2,-1.911513269E-1,2.373893058E-1
1.052589167E-1,8.513505790E-2,4.241382027E-2,6.281312943E-2,1.139842071E-1
1.152079166E-1,4.736558966E-2,7.125973393E-2,2.786543244E-1,2.914955939E-1
1.251569167E-1,3.161074217E-2,4.611784866E-2,1.947239757E-1,2.025920079E-1
1.351059168E-1,9.253070762E-2,2.516212669E-2,8.595991731E-3,9.627541507E-2
1.450539166E-1,1.370181698E-1,9.872347545E-3,-9.062014818E-2,1.645705118E-1
1.550029167E-1,1.356413881E-1,2.578374967E-2,-5.493283689E-2,1.485967849E-1
1.649519168E-1,1.163854289E-1,4.990284728E-2,1.123068863E-1,1.692592654E-1
1.748999166E-1,9.593431704E-2,6.927404691E-2,1.808409315E-1,2.161150834E-1
1.848489167E-1,8.459515890E-2,8.245452066E-2,9.411795259E-2,1.510406498E-1
1.947979166E-1,1.014523344E-1,7.703816257E-2,-1.099861264E-3,1.273917751E-1
2.047459166E-1,1.280682936E-1,7.490061696E-2,-4.163626850E-2,1.540946758E-1
2.146949167E-1,1.045737974E-1,6.906322280E-2,2.231706798E-2,1.272928096E-1
2.246439166E-1,7.475535477E-2,7.491579688E-2,9.461964369E-2,1.419634342E-1
2.345919167E-1,5.757342121E-2,6.896865780E-2,1.058135533E-1,1.388087989E-1
2.445409168E-1,7.005720835E-2,6.177430761E-2,5.653731287E-2,1.091812496E-1
2.544899166E-1,9.341827841E-2,4.599037936E-2,8.933376074E-3,1.045078702E-1
2.644379167E-1,1.049363614E-1,3.677896361E-2,1.299251318E-2,1.119514962E-1
2.743869168E-1,1.063282179E-1,4.436466611E-2,7.392517805E-2,1.368899028E-1
2.843359166E-1,9.131697183E-2,4.684280290E-2,8.483959079E-2,1.331570265E-1
2.942849167E-1,1.033396695E-1,4.493602131E-2,9.200126052E-2,1.454735895E-1
3.042329168E-1,1.045249549E-1,4.876820879E-2,4.154680610E-2,1.225966618E-1
3.141819166E-1,1.107153108E-1,5.593133576E-2,1.416371047E-2,1.248471267E-1
3.241309167E-1,1.040801097E-1,5.796647287E-2,3.303852260E-2,1.236297909E-1
3.340789166E-1,1.011904157E-1,6.491861128E-2,7.674938321E-2,1.426337763E-1
3.440279167E-1,8.875813890E-2,6.805767073E-2,7.404329181E-2,1.341352408E-1
3.539769168E-1,9.154744349E-2,7.143592698E-2,5.487027168E-2,1.284319773E-1
3.639249166E-1,9.560415035E-2,6.287102143E-2,3.256372869E-2,1.189677071E-1
3.738739167E-1,9.469220398E-2,5.636040261E-2,4.633742988E-2,1.195419001E-1
3.838229168E-1,8.968017172E-2,5.097534997E-2,5.681680977E-2,1.177674377E-1
3.937709166E-1,8.358123343E-2,5.319817814E-2,6.549349308E-2,1.187655942E-1
4.037199167E-1,8.469227750E-2,5.543856166E-2,6.937487483E-2,1.227154809E-1
4.136689168E-1,8.701040614E-2,5.082201131E-2,5.529594898E-2,1.149405480E-1
4.236169166E-1,9.836948136E-2,4.852295007E-2,3.359049976E-2,1.147142241E-1
4.335659167E-1,1.044135106E-1,4.870396708E-2,4.810855150E-2,1.248546769E-1
4.435149166E-1,1.047665728E-1,4.845575734E-2,6.082975388E-2,1.304770254E-1
4.534629167E-1,1.109995768E-1,5.386975827E-2,6.261900187E-2,1.383618311E-1
4.634119167E-1,1.066757984E-1,5.831049472E-2,5.139000893E-2,1.319877751E-1
4.733609166E-1,8.835977906E-2,5.446550732E-2,3.537214637E-2,1.096591573E-1
4.833099167E-1,8.178542560E-2,5.550020867E-2,5.363709390E-2,1.124547324E-1
4.932579168E-1,8.540799497E-2,5.449663460E-2,5.872417152E-2,1.171022507E-1
5.032069166E-1,9.411323827E-2,5.919815230E-2,6.186178744E-2,1.272344434E-1
5.131559167E-1,7.955579091E-2,5.331280184E-2,5.152683377E-2,1.087492221E-1
5.231039168E-1,8.329592586E-2,7.002286053E-2,5.556550562E-2,1.221840320E-1
5.330529166E-1,7.969210412E-2,5.622707239E-2,3.879686058E-2,1.049643345E-1
5.430019167E-1,1.035074115E-1,6.290794111E-2,4.747588277E-2,1.300967053E-1
5.529499166E-1,9.363394931E-2,5.734382663E-2,5.525677264E-2,1.229184357E-1
5.628989167E-1,9.815814106E-2,4.691997244E-2,5.824820817E-2,1.234072859E-1
5.728479167E-1,9.714726711E-2,5.259262587E-2,5.719804823E-2,1.243993269E-1
5.827959166E-1,9.310048224E-2,5.037474956E-2,4.537263930E-2,1.151694039E-1
5.927449167E-1,8.957652982E-2,5.151109197E-2,5.105905652E-2,1.152578611E-1
6.026939168E-1,8.283019513E-2,4.480716786E-2,5.330087900E-2,1.082104765E-1
6.126419166E-1,8.771285774E-2,5.088083978E-2,4.506449103E-2,1.109649207E-1
6.225909167E-1,9.060193045E-2,5.505777544E-2,5.209752202E-2,1.181279825E-1
6.325399168E-1,9.475056650E-2,5.488393498E-2,4.521125615E-2,1.184650744E-1
6.424889166E-1,8.855531361E-2,5.631732965E-2,5.403821290E-2,1.180415759E-1
6.524369167E-1,9.476611644E-2,4.957294555E-2,5.762606442E-2,1.214860365E-1
6.623859166E-1,9.847785585E-2,6.295673339E-2,5.193438470E-2,1.279008158E-1
6.723349167E-1,9.757424176E-2,6.135268682E-2,4.519546866E-2,1.238043425E-1
6.822829167E-1,8.750265034E-2,6.378933121E-2,4.908620596E-2,1.188917500E-1
6.922319166E-1,8.267840507E-2,5.911727343E-2,4.414296985E-2,1.108114275E-1
7.021809167E-1,8.285097102E-2,6.183696875E-2,5.386747420E-2,1.165752927E-1
7.121289168E-1,9.093893107E-2,5.653565920E-2,5.565730691E-2,1.206810083E-1
7.220779166E-1,8.602187952E-2,5.549766422E-2,5.804706395E-2,1.176826925E-1
7.320269167E-1,9.063494895E-2,5.967729051E-2,4.786472261E-2,1.186048256E-1
7.419749168E-1,1.071515973E-1,5.571058966E-2,4.920958221E-2,1.304098063E-1
7.519239166E-1,1.066129408E-1,4.888755594E-2,5.534506559E-2,1.296895854E-1
7.618729167E-1,1.078551270E-1,3.820886822E-2,4.666136563E-2,1.235715544E-1
