"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.017500000E-3,-3.559466947E-1,1.016300350E-1,1.238793447E0,1.292917599E0
1.696650009E-2,-2.005492277E-1,8.151427925E-2,5.375245947E-1,5.794801639E-1
2.691450017E-2,1.081067948E-1,1.976493422E-2,-3.425357401E-2,1.151131575E-1
3.686350002E-2,1.743042561E-1,-1.126639502E-1,-9.358761013E-1,9.586131734E-1
4.681150010E-2,1.320889670E-1,-8.537221732E-2,-7.370491344E-1,7.536427119E-1
5.676049995E-2,5.731501082E-2,8.888288559E-3,3.774576509E-1,3.818877981E-1
6.670950004E-2,-1.207624901E-1,4.970935013E-2,6.755855423E-1,6.880918714E-1
7.665750012E-2,-1.084145593E-1,3.377315216E-2,4.703219604E-1,4.838358078E-1
8.660649997E-2,6.432351091E-2,-3.224008530E-3,7.525308073E-2,9.905016126E-2
9.655450005E-2,1.418878681E-1,-6.489180545E-2,-4.665844202E-1,4.919798113E-1
1.065035001E-1,1.289020518E-1,-4.888327560E-2,-3.810618746E-1,4.052326071E-1
1.164525000E-1,1.869694714E-2,1.312306597E-2,1.693757111E-1,1.709091051E-1
1.264005001E-1,-8.795325140E-2,5.033925971E-2,3.904261905E-1,4.033638875E-1
1.363495002E-1,-8.838967295E-2,3.622123974E-2,2.898207521E-1,3.051569774E-1
1.462975000E-1,-3.631760459E-4,1.286069044E-2,2.924777269E-3,1.319407358E-2
1.562465001E-1,6.850181244E-2,-1.698586911E-2,-2.417800283E-1,2.518702050E-1
1.661954999E-1,7.111895308E-2,-1.390565183E-2,-1.075490069E-1,1.296844691E-1
1.761435000E-1,4.091684170E-2,2.303177132E-3,1.576070201E-1,1.628479824E-1
1.860925001E-1,-1.120726688E-2,5.399323502E-3,2.362900776E-1,2.366173203E-1
1.960405000E-1,1.264272178E-2,-8.821776481E-3,1.359208667E-1,1.367923396E-1
2.059895000E-1,4.909603659E-2,-2.406192281E-2,-4.836115122E-2,7.299450586E-2
2.159385001E-1,5.054828396E-2,-4.498577289E-2,-9.980086148E-2,1.205780275E-1
2.258865000E-1,2.326037005E-2,-2.827006342E-2,1.671894372E-2,4.024629647E-2
2.358355001E-1,-2.937485827E-2,2.139678933E-3,1.496477902E-1,1.525185944E-1
2.457835001E-1,-4.431400090E-2,2.543935323E-2,1.542396086E-1,1.624830706E-1
2.557325000E-1,4.035656881E-3,1.858576324E-2,4.776882827E-2,5.141573763E-2
2.656815001E-1,5.042041266E-2,9.627668979E-3,-2.572540998E-2,5.741695518E-2
2.756295002E-1,7.533810290E-2,7.202600241E-3,-2.000566363E-2,7.828112017E-2
2.855785000E-1,6.082693990E-2,1.746670667E-2,6.818087339E-2,9.302491041E-2
2.955265001E-1,2.073864866E-2,5.491883098E-3,1.082863408E-1,1.103910501E-1
3.054754999E-1,1.702654380E-3,-6.724887290E-3,8.102252841E-2,8.131895997E-2
3.154245000E-1,-3.827368096E-3,-1.811053993E-2,1.410874665E-2,2.327438796E-2
3.253725001E-1,-5.233184919E-3,-2.305934460E-2,1.552435756E-3,2.369661694E-2
3.353215000E-1,-6.596225705E-3,-2.445700273E-2,4.901720881E-2,5.517555560E-2
3.452695000E-1,-3.644258883E-3,-2.104331600E-2,7.894618213E-2,8.178387032E-2
3.552185001E-1,1.849682618E-2,-2.350964416E-3,6.290902376E-2,6.561406010E-2
3.651675000E-1,4.721769165E-2,2.029600530E-3,3.236199975E-2,5.727939168E-2
3.751155001E-1,5.633735636E-2,-2.453747503E-3,1.769776762E-2,5.910270364E-2
3.850645002E-1,6.331750659E-2,7.842893195E-3,4.405584633E-2,7.753409064E-2
3.950125000E-1,5.242178667E-2,8.672645073E-3,5.813243330E-2,7.875683013E-2
4.049615001E-1,1.928377004E-2,2.759931469E-4,6.441526651E-2,6.724036377E-2
4.149104999E-1,-9.603138082E-3,1.083715183E-2,5.723020792E-2,5.903355672E-2
4.248585000E-1,-3.503348295E-2,1.116678405E-2,4.286301434E-2,5.647371062E-2
4.348075001E-1,-2.559759350E-2,3.300620760E-3,3.104286790E-2,4.037066432E-2
4.447554999E-1,-8.234377988E-3,-1.436539373E-2,6.786103070E-2,6.985190767E-2
4.547045000E-1,1.559801420E-2,-5.739229457E-3,7.683007479E-2,7.860723372E-2
4.646535001E-1,4.625471005E-2,-7.291720030E-3,5.077371240E-2,6.906979987E-2
4.746015000E-1,5.984427877E-2,-1.142345397E-2,3.116507471E-2,6.843314170E-2
4.845505001E-1,5.750623304E-2,-1.020928421E-2,4.269870758E-2,7.234898722E-2
4.944985001E-1,3.812406532E-2,-1.267554841E-2,5.438144445E-2,6.761253867E-2
5.044475000E-1,3.473554904E-2,-1.407052504E-2,6.006844640E-2,7.080082128E-2
5.143965001E-1,1.531647077E-2,-1.728093423E-2,4.764252841E-2,5.294370103E-2
5.243445002E-1,-1.038955204E-2,-1.027516589E-2,4.854416907E-2,5.069574120E-2
5.342935000E-1,-1.620418774E-2,-5.854899259E-3,4.166141152E-2,4.508357523E-2
5.442415001E-1,-1.038337592E-2,-3.157528429E-3,5.543277383E-2,5.648519183E-2
5.541904999E-1,-1.744863968E-3,9.559233715E-3,6.545373201E-2,6.617110044E-2
5.641395000E-1,3.646173846E-2,7.195775444E-3,4.897803247E-2,6.148239765E-2
5.740875001E-1,3.385996504E-2,9.630090091E-4,4.792670310E-2,5.868895542E-2
5.840365000E-1,5.668246999E-2,6.883200654E-3,3.925001979E-2,6.928812964E-2
5.939845000E-1,4.260953754E-2,3.343031346E-3,4.284781158E-2,6.052010827E-2
6.039335001E-1,2.289601542E-2,-6.986659826E-3,4.449614167E-2,5.052670147E-2
6.138825000E-1,5.063871481E-3,-6.137790293E-3,5.916505158E-2,5.969772686E-2
6.238305001E-1,4.555309899E-3,-1.170942393E-2,3.626267731E-2,3.837763962E-2
6.337795001E-1,4.765499029E-3,-1.920764204E-2,3.775781035E-2,4.262975177E-2
6.437275000E-1,6.730620302E-3,-2.258880362E-2,4.658944488E-2,5.221237088E-2
6.536765001E-1,1.597366126E-2,-1.479219936E-2,4.718761504E-2,5.196766330E-2
6.636255002E-1,2.983516205E-2,-1.834502241E-2,5.870779932E-2,6.836141048E-2
6.735735000E-1,5.124541825E-2,-6.303887763E-3,4.193740010E-2,6.651749709E-2
6.835225001E-1,4.221824918E-2,-2.477008458E-3,5.630985618E-2,7.042241147E-2
6.934704999E-1,2.385419134E-2,7.884294223E-3,4.044636011E-2,4.761399570E-2
7.034195000E-1,-8.641819283E-4,4.737377577E-3,3.536454499E-2,3.569090359E-2
7.133685001E-1,-1.038670152E-2,8.200459569E-3,4.494579256E-2,4.685355242E-2
7.233165000E-1,-9.261551052E-3,2.902452783E-3,4.928501129E-2,5.023159263E-2
7.332655001E-1,-3.181122858E-3,4.221918108E-3,4.703149438E-2,4.732764096E-2
7.432135001E-1,1.225106796E-2,2.025365867E-3,5.361487448E-2,5.503403982E-2
7.531625000E-1,2.931254888E-2,-9.477349855E-3,5.271381855E-2,6.105564960E-2
7.631115001E-1,4.281810042E-2,-6.674742848E-3,5.106841207E-2,6.697704552E-2
7.730595001E-1,4.614730401E-2,-1.259998685E-2,5.540529191E-2,7.319890510E-2
7.830085000E-1,4.720387761E-2,-1.819971453E-2,5.271089494E-2,7.306075633E-2
7.929565001E-1,4.005675282E-2,-1.879099138E-2,5.570817769E-2,7.114102800E-2
8.029055002E-1,2.090253515E-2,-1.013498346E-2,3.550838649E-2,4.243205600E-2
8.128545000E-1,-5.747593716E-3,-1.541474054E-2,3.446641266E-2,3.819139512E-2
8.228025001E-1,-2.453283381E-2,-1.200960993E-2,5.617244661E-2,6.246146351E-2
8.327515000E-1,-1.417984514E-2,-4.229455534E-4,4.748582304E-2,4.955956296E-2
8.426995000E-1,-6.221145093E-3,1.556816599E-3,4.882775903E-2,4.924709510E-2
8.526485001E-1,1.994810510E-2,1.622199891E-2,4.672685444E-2,5.333365797E-2
8.625975000E-1,4.089358075E-2,1.637301696E-2,4.417922258E-2,6.238721294E-2
8.725455001E-1,4.872112043E-2,1.755630611E-2,4.447684586E-2,6.826537393E-2
8.824945001E-1,5.247784685E-2,4.477044004E-3,5.525501847E-2,7.633534830E-2
8.924421251E-1,2.771973079E-2,-1.696160773E-2,4.986739397E-2,5.952173211E-2
9.023911250E-1,2.452428225E-2,-2.722394172E-2,5.346460104E-2,6.481548416E-2
9.123401251E-1,5.530040748E-3,-2.214742564E-2,4.508495629E-2,5.053457328E-2
9.222881251E-1,4.153898545E-3,-3.099775754E-2,5.781025171E-2,6.572777989E-2
9.322371250E-1,-2.553058807E-3,-2.476749445E-2,5.556433618E-2,6.088794910E-2
9.421851251E-1,2.915458269E-3,-2.126981795E-2,4.627954245E-2,5.101667474E-2
9.521341252E-1,2.491566198E-2,-9.657508051E-3,3.878984392E-2,4.710318105E-2
9.620831250E-1,3.229424514E-2,3.554664007E-3,6.273594618E-2,7.064950706E-2
9.720311251E-1,5.001313582E-2,1.557669471E-2,5.120816052E-2,7.325450755E-2
9.819801250E-1,3.846049950E-2,2.163177431E-2,4.117901623E-2,6.035606895E-2
9.919281250E-1,1.879867041E-2,1.625230850E-2,4.701570690E-2,5.317898303E-2
1.001877125E0,7.062139157E-3,1.043016735E-2,3.968271375E-2,4.163388008E-2
1.011826125E0,-4.213850778E-3,7.245481345E-3,4.327348888E-2,4.407775378E-2
1.021774125E0,-6.295916364E-3,1.379988575E-4,5.360025644E-2,5.396892715E-2
1.031723125E0,-2.770831045E-3,-1.497320266E-2,5.659227669E-2,5.860511995E-2
1.041671125E0,7.263100650E-3,-2.439042670E-2,4.595911503E-2,5.253461525E-2
1.051620125E0,2.252994318E-2,-1.933645894E-2,4.670229614E-2,5.534077564E-2
1.061569125E0,3.555874564E-2,-2.362141734E-2,4.505279660E-2,6.206569286E-2
1.071517125E0,3.435906144E-2,-2.141811339E-2,4.146319091E-2,5.795236738E-2
1.081466125E0,3.259212423E-2,-7.177502895E-3,4.984809816E-2,5.998829886E-2
1.091414125E0,3.292864976E-2,-1.224132869E-3,5.014981449E-2,6.000665271E-2
1.101363125E0,1.540816242E-2,8.295522504E-3,4.670989752E-2,4.988027354E-2
1.111312125E0,1.178762130E-3,1.050862968E-2,4.701044440E-2,4.818508753E-2
1.121260125E0,-8.012932967E-3,1.042264363E-2,4.880261600E-2,5.054239729E-2
1.131209125E0,-7.598913554E-3,1.050811804E-2,5.538599610E-2,5.688385181E-2
1.141157125E0,1.085754856E-3,9.339999673E-3,5.238929808E-2,5.322643151E-2
1.151106125E0,6.011193506E-3,4.455825007E-3,4.745424807E-2,4.804055041E-2
1.161054125E0,2.128074220E-1,1.129359645E-1,-1.204672605E-1,2.693582963E-1
1.171003125E0,1.475813842E-1,-3.809272790E-2,-2.697782511E-1,3.098574279E-1
1.180952125E0,-1.510280985E-2,-1.052311981E-2,1.434322000E-3,1.846315779E-2
1.190900125E0,7.212317582E-2,1.836940073E-1,6.941767645E-1,7.216831862E-1
1.200849125E0,-4.781067241E-3,1.563859753E-2,8.016006410E-2,8.181112524E-2
1.210797125E0,1.113176836E-1,-5.405609258E-3,-1.330756116E-1,1.735798539E-1
1.220746125E0,7.344276449E-2,-6.649222035E-2,-1.927318293E-1,2.167039756E-1
1.230695125E0,-7.672511727E-2,-8.467685547E-2,8.403852224E-2,1.418428239E-1
1.240643125E0,-3.629765097E-2,-1.051891712E-2,3.206882036E-1,3.229072483E-1
1.250592125E0,6.681174785E-3,4.292600895E-3,7.853044510E-2,7.893095290E-2
1.260540125E0,6.214026108E-2,4.250388566E-2,1.091213232E-1,1.325724539E-1
1.270489125E0,3.554619240E-2,-8.920247247E-3,-3.299466848E-2,4.931278489E-2
1.280438125E0,5.770708490E-3,-1.053507462E-2,1.860350132E-2,2.214450575E-2
1.290386125E0,-2.941482034E-2,-1.552493314E-2,8.394964457E-2,9.029838330E-2
1.300335125E0,-5.894629262E-2,-2.457573775E-2,5.558772504E-2,8.466774755E-2
1.310283125E0,-1.445133867E-2,-1.140566108E-2,1.888299823E-2,2.637229448E-2
1.320232125E0,3.026884273E-3,-9.962837775E-3,-2.511437595E-2,2.718735081E-2
1.330181125E0,-6.091428269E-3,-2.318129102E-2,3.881381750E-2,4.561787129E-2
1.340129125E0,9.405319467E-3,-1.077259948E-2,6.693658590E-2,6.844717281E-2
1.350078125E0,9.395525381E-3,-2.219324862E-2,1.000283182E-1,1.028906245E-1
1.360026125E0,1.758087812E-2,9.266835473E-2,4.323606670E-2,1.037587043E-1
1.369975125E0,8.773281137E-2,4.211861262E-1,9.798003852E-1,1.070095133E0
1.379924125E0,1.858166928E-1,2.155569289E-1,-3.378778481E-1,4.417624624E-1
1.389872125E0,-2.122193017E-2,-5.380549828E-2,-2.014552903E-1,2.095939788E-1
1.399821125E0,-1.027967921E-1,-9.657033878E-2,-1.969862634E-1,2.422738095E-1
1.409769125E0,2.922039585E-2,6.842666202E-2,1.090798080E-1,1.320395551E-1
1.419718125E0,7.199817332E-2,2.175272762E-1,3.384350878E-1,4.087054703E-1
1.429667125E0,9.471530048E-2,1.452433110E-1,2.984857410E-1,3.451960966E-1
1.439615125E0,-3.515419369E-2,-5.099236172E-2,1.849205339E-1,1.950170304E-1
1.449564125E0,-2.009151720E-1,-1.700058948E-1,4.321513367E-1,5.059878342E-1
1.459512125E0,-7.124762837E-1,-6.829715259E-1,6.141079170E-1,1.162411757E0
1.469461125E0,-2.826972172E-1,3.821384749E-2,1.127345517E0,1.162878295E0
1.479409125E0,-3.312365806E-1,3.372981333E-1,2.232377474E0,2.281884504E0
1.489358125E0,4.006541036E-1,7.017084168E-1,4.380411201E0,4.454314841E0
1.499307125E0,1.556105468E0,1.139785980E0,4.060083185E0,4.494980732E0
1.509255125E0,7.453431174E-1,6.679137761E-1,4.210182381E-1,1.085772320E0
