"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.254791653E-3,-3.221706920E-1,8.940200871E-2,7.905248451E-1,8.583217373E-1
1.420379174E-2,-2.331959320E-1,7.469313674E-2,4.989405727E-1,5.557887211E-1
2.415179182E-2,-3.273724481E-2,-5.288687786E-3,-1.467007935E-2,3.626166908E-2
3.410079167E-2,1.220363973E-1,-7.032854657E-2,-4.850095814E-1,5.050478005E-1
4.404879175E-2,1.770644708E-1,-7.552851199E-2,-4.128882694E-1,4.555580160E-1
5.399779184E-2,8.980353883E-2,-2.429947508E-2,-2.084415436E-2,9.533949259E-2
6.394579168E-2,-3.865173086E-2,3.489871833E-2,3.086920559E-1,3.130537689E-1
7.389479177E-2,-1.224971762E-1,6.454587413E-2,3.664145994E-1,3.917031870E-1
8.384279162E-2,-1.234822219E-1,5.586089051E-2,2.016535109E-1,2.429659167E-1
9.379179170E-2,-6.222930321E-2,2.623442838E-2,-4.479259551E-2,8.103769508E-2
1.037407918E-1,-1.085728361E-2,1.959431658E-3,-1.685728884E-1,1.689335333E-1
1.136887916E-1,-3.065357124E-3,-6.376228784E-4,-1.198655820E-1,1.199064666E-1
1.236377917E-1,-3.867704747E-3,2.048033877E-2,7.417836249E-2,7.705084605E-2
1.335857918E-1,-2.724146510E-2,3.003142293E-2,1.825477338E-1,1.869964141E-1
1.435347917E-1,-1.010312070E-2,1.226502591E-2,1.753170669E-1,1.760357289E-1
1.534827917E-1,1.615592080E-2,-6.360007329E-3,4.430259883E-2,4.758343970E-2
1.634317918E-1,2.187863644E-2,-2.669876811E-2,-5.658818364E-2,6.628515278E-2
1.733797917E-1,-1.616495658E-2,-2.274956094E-2,-7.136994481E-2,7.663235196E-2
1.833287918E-1,-5.573533983E-2,-4.573867957E-3,1.638799131E-2,5.827447669E-2
1.932767918E-1,-9.877431882E-2,2.073354148E-2,1.120513630E-1,1.508036928E-1
2.032257917E-1,-9.628160510E-2,2.727170845E-2,1.434655291E-1,1.749178424E-1
2.131747918E-1,-4.143227376E-2,2.551538074E-2,9.163873315E-2,1.037560860E-1
2.231227916E-1,2.810888126E-2,2.649536495E-2,1.647394538E-2,4.199410013E-2
2.330717917E-1,5.794365046E-2,1.003286047E-2,-1.735336661E-2,6.131283919E-2
2.430197918E-1,7.232539812E-2,2.619228275E-3,-5.507492423E-3,7.258206420E-2
2.529687916E-1,2.909499591E-2,7.921679858E-3,4.076795697E-2,5.070796895E-2
2.629167917E-1,-2.852261745E-2,8.623596984E-3,8.508400440E-2,9.015095084E-2
2.728657918E-1,-7.298440673E-2,3.807640595E-3,8.043956101E-2,1.086818510E-1
2.828137917E-1,-8.759337354E-2,-4.370645236E-3,5.199344158E-2,1.019559689E-1
2.927627917E-1,-1.001585832E-1,-7.413454035E-3,4.016920209E-2,1.081677673E-1
3.027117918E-1,-7.948069987E-2,8.813832491E-3,3.702983201E-2,8.812532980E-2
3.126597917E-1,-4.425059516E-2,1.564839619E-2,4.496274948E-2,6.499720237E-2
3.226087918E-1,-7.530364087E-3,3.396667901E-2,7.429179847E-2,8.203482789E-2
3.325567918E-1,2.925946712E-2,2.514027729E-2,6.469768703E-2,7.532556449E-2
3.425057917E-1,5.607726490E-2,2.698464899E-2,4.238822043E-2,7.529669416E-2
3.524537918E-1,4.373504433E-2,2.234076519E-2,1.500278592E-2,5.135121690E-2
3.624027916E-1,1.522682564E-2,1.827647751E-2,3.298297405E-2,4.066647792E-2
3.723507917E-1,-2.826177682E-2,8.675829065E-4,4.273086727E-2,5.123873287E-2
3.822997918E-1,-8.097231545E-2,-4.542034892E-3,6.848492861E-2,1.061476867E-1
3.922477916E-1,-9.208159578E-2,-1.846240070E-3,7.342114806E-2,1.177840985E-1
4.021967917E-1,-8.724739197E-2,-1.431783257E-2,7.161435843E-2,1.137792778E-1
4.121457918E-1,-5.744904910E-2,-5.254106987E-3,4.121936202E-2,7.090158453E-2
4.220937917E-1,-1.505833447E-2,8.217039623E-3,4.331149578E-2,4.658496371E-2
4.320420418E-1,1.546770352E-2,8.833160279E-3,3.238421917E-2,3.695960259E-2
4.419900416E-1,4.189995965E-2,2.547181898E-2,5.154671431E-2,7.114410683E-2
4.519390417E-1,4.098403900E-2,2.034256604E-2,5.828563035E-2,7.409943421E-2
4.618870418E-1,1.457377388E-2,2.776867381E-2,4.841026783E-2,5.768057005E-2
4.718360417E-1,-1.975204979E-2,2.878359970E-2,3.300051570E-2,4.803824642E-2
4.817840417E-1,-5.011598286E-2,2.782359196E-2,4.767761171E-2,7.455815627E-2
4.917330418E-1,-6.657917485E-2,1.325047589E-2,5.756232977E-2,8.900440126E-2
5.016810417E-1,-6.944171581E-2,-4.942994001E-3,6.773882389E-2,9.713461457E-2
5.116300418E-1,-4.329791014E-2,-3.995573760E-3,6.593437314E-2,7.898110656E-2
5.215790418E-1,-1.597807408E-2,-8.308948260E-3,5.934046805E-2,6.201313265E-2
5.315270417E-1,-1.229285728E-4,2.601540447E-3,3.029968679E-2,3.041141469E-2
5.414760418E-1,1.014695655E-2,1.535208397E-2,4.886459649E-2,5.221490208E-2
5.514240416E-1,2.532401690E-3,2.664598100E-2,4.961947203E-2,5.637830581E-2
5.613730417E-1,1.158123286E-3,1.601823943E-2,5.111986756E-2,5.358326328E-2
5.713210418E-1,-1.996009190E-2,6.166035086E-3,5.695948184E-2,6.066966151E-2
5.812700416E-1,-2.772280972E-2,-2.605085322E-3,5.456212342E-2,6.125655851E-2
5.912180417E-1,-2.153566984E-2,-1.706226207E-2,4.333722353E-2,5.131296917E-2
6.011670418E-1,-2.894099487E-2,-1.967267384E-2,3.675559759E-2,5.075006635E-2
6.111150417E-1,-5.211256946E-2,-9.785820174E-3,2.403322577E-2,5.821578921E-2
6.210640417E-1,-2.729599952E-2,-2.377345408E-3,6.863929510E-2,7.390586034E-2
6.310130418E-1,-1.976385386E-2,6.646874927E-3,6.324582338E-2,6.659448206E-2
6.409610417E-1,1.900420005E-2,1.591892356E-2,3.570017517E-2,4.346348184E-2
6.509100418E-1,2.171235625E-3,2.375525462E-2,3.091130555E-2,3.904529673E-2
6.608580418E-1,6.527246833E-3,3.484852135E-2,1.160847723E-2,3.730658300E-2
6.708070417E-1,-3.446503309E-2,3.456190957E-2,4.290277541E-2,6.498470771E-2
6.807550418E-1,-2.965294819E-2,3.069692515E-2,4.500251055E-2,6.202277409E-2
6.907040416E-1,-5.064026797E-2,2.589081538E-2,7.134421706E-2,9.124016862E-2
7.006520417E-1,-3.721325185E-2,4.199696404E-3,5.786463082E-2,6.892589545E-2
7.106010418E-1,-3.774383185E-2,-8.319491521E-3,4.004874945E-2,5.565710300E-2
7.205500416E-1,-1.928725096E-2,-6.921620972E-3,4.199528754E-2,4.672805434E-2
7.304980417E-1,-2.104848714E-2,-1.503812503E-3,3.781043530E-2,4.330045358E-2
7.404470418E-1,-8.901974699E-3,-1.429022960E-2,6.759790599E-2,6.966299384E-2
7.503950417E-1,-4.561559111E-4,2.260337141E-4,6.490175486E-2,6.490375145E-2
7.603440417E-1,-4.431257565E-3,2.508661081E-4,3.930264473E-2,3.955245707E-2
7.702920418E-1,-2.760854233E-3,7.613935873E-3,2.493662059E-2,2.621887454E-2
7.802410417E-1,-1.919100945E-2,1.861188614E-2,3.946402788E-2,4.766661983E-2
7.901890418E-1,-3.361345008E-2,1.832844921E-2,4.590649009E-2,5.977626543E-2
8.001380418E-1,-1.644909471E-2,2.306554585E-2,5.069711387E-2,5.807572192E-2
8.100860417E-1,-2.389483863E-2,1.344673448E-2,6.730729938E-2,7.267771688E-2
8.200350418E-1,-2.730918316E-2,6.949091465E-3,4.679526687E-2,5.462488772E-2
8.299840416E-1,-2.491571680E-2,4.422756261E-3,3.587032914E-2,4.389799801E-2
8.399320417E-1,-2.264493233E-2,7.125732196E-3,3.841913044E-2,4.516191541E-2
8.498810418E-1,-1.399572180E-2,1.180193328E-2,5.713314414E-2,5.999468324E-2
8.598290416E-1,-1.928062716E-2,3.510458143E-3,3.752099812E-2,4.233073588E-2
8.697780417E-1,-1.255590890E-2,9.048461155E-3,5.099122882E-2,5.328818738E-2
8.797260418E-1,-1.193848860E-2,8.780825415E-3,4.724842608E-2,4.951811963E-2
8.896750417E-1,-2.005005679E-2,1.217106389E-2,3.048562825E-2,3.846443946E-2
8.996230417E-1,-1.124449720E-2,1.172818755E-2,3.932077110E-2,4.254541268E-2
9.095720418E-1,-1.120849114E-2,4.597350466E-4,6.881003380E-2,6.971845079E-2
9.195200417E-1,-2.563017346E-3,3.817505487E-3,4.635263264E-2,4.658013481E-2
9.294690418E-1,2.397285327E-3,4.171054184E-3,4.170935869E-2,4.198589373E-2
9.394180418E-1,-9.830366364E-3,3.990619616E-3,4.036449909E-2,4.173552365E-2
9.493660417E-1,-3.076207364E-2,2.090717638E-3,3.124108851E-2,4.389398462E-2
9.593150418E-1,-3.704690770E-2,1.011295590E-2,3.409160614E-2,5.135156138E-2
9.692630416E-1,-3.763715671E-2,2.273613290E-2,5.774183929E-2,7.257828401E-2
9.792120417E-1,-2.672787856E-2,1.443406197E-2,6.417260706E-2,7.099890939E-2
9.891600418E-1,-1.023797211E-2,1.179663881E-2,4.066855431E-2,4.356498674E-2
9.991090416E-1,-1.667388361E-2,9.117700411E-3,4.231513023E-2,4.638664789E-2
1.009057042E0,-1.040964271E-2,1.406174737E-2,3.423544765E-2,3.844683701E-2
1.019006042E0,-1.849521820E-2,9.368281011E-3,4.202276945E-2,4.685884055E-2
1.028954042E0,-7.003310686E-3,7.037203980E-3,4.277004361E-2,4.390723438E-2
1.038903042E0,5.517213419E-4,7.447260534E-3,6.761544764E-2,6.802657455E-2
1.048852042E0,-1.383405542E-3,-2.952663463E-3,5.025038660E-2,5.035606602E-2
1.058800042E0,-1.940142699E-3,-1.123235509E-2,3.857700527E-2,4.022580378E-2
1.068749042E0,-5.088996235E-3,-6.146963113E-3,3.678658783E-2,3.764221145E-2
1.078697042E0,-2.849388387E-2,-2.029570837E-3,4.697009861E-2,5.497463724E-2
1.088646042E0,-4.839512902E-2,8.240962957E-3,4.412601292E-2,6.600838583E-2
1.098594042E0,-4.411807350E-2,1.151118733E-2,7.106764376E-2,8.443649586E-2
1.108543042E0,-3.032180571E-2,9.713520266E-3,5.414814055E-2,6.281548776E-2
1.118491042E0,-1.146771465E-2,1.608269585E-2,3.274089932E-2,3.823778333E-2
1.128440042E0,-5.844986401E-3,2.213633877E-2,3.738475800E-2,4.383835638E-2
1.138389042E0,1.122984261E-2,3.959316912E-2,7.020751834E-3,4.174948338E-2
1.148337042E0,1.716586285E-2,-9.185738247E-3,-5.128358960E-2,5.485481927E-2
1.158286042E0,6.484498205E-3,-1.193482039E-2,-5.404406011E-2,5.572476189E-2
1.168234042E0,-4.290318654E-2,-4.917115504E-3,1.968646413E-1,2.015454004E-1
1.178183042E0,-5.076634856E-2,-4.501337358E-3,2.234683031E-1,2.292063844E-1
1.188131042E0,-4.117855942E-2,-1.532059123E-2,7.478121042E-2,8.673306004E-2
1.198080042E0,-1.591175387E-2,-7.990119690E-3,-4.946452081E-2,5.257152026E-2
1.208028042E0,-5.974506796E-2,-1.117676999E-2,6.226699948E-3,6.109963278E-2
1.217977042E0,-3.705764282E-3,5.635165006E-2,1.934334952E-1,2.015087050E-1
1.227925042E0,-1.104034897E-1,2.998009077E-2,2.663377494E-1,2.898681306E-1
1.237874042E0,4.910774929E-3,7.007536213E-2,2.110973489E-1,2.224786795E-1
1.247823042E0,2.974761827E-2,2.267344207E-2,-7.283408761E-2,8.187679822E-2
1.257771042E0,-6.301856312E-2,1.016117259E-1,4.385838586E-1,4.545900166E-1
