"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.866333308E-3,-6.250932089E-2,1.115773822E-1,4.229326165E-1,4.418471744E-1
1.681533339E-2,2.937131340E-2,9.091919672E-2,-8.056878448E-3,9.588476246E-2
2.676333324E-2,-6.188181415E-4,2.658240166E-3,-1.987491989E-1,1.987679382E-1
3.671133332E-2,4.794655622E-2,3.654900130E-2,-2.358041739E-1,2.433892155E-1
4.666033341E-2,2.878481939E-2,1.050140380E-1,4.429558218E-2,1.175525950E-1
5.660833325E-2,-1.321863140E-1,7.941150173E-2,3.428766328E-1,3.759571698E-1
6.655633333E-2,-9.604487509E-2,7.126981124E-2,2.437365067E-1,2.714985980E-1
7.650433341E-2,-2.511664174E-2,4.050813046E-2,-4.470430255E-2,6.534698916E-2
8.645333326E-2,9.966706987E-3,2.249812153E-2,-1.793925762E-1,1.810723533E-1
9.640133334E-2,-5.724670803E-3,3.158421043E-2,-2.086111128E-2,3.828211290E-2
1.063493334E-1,-4.809859296E-2,5.820587981E-2,1.443882197E-1,1.629397345E-1
1.162983333E-1,-1.785619975E-2,8.678572688E-2,1.698218536E-1,1.915465172E-1
1.262463334E-1,-2.099525006E-2,6.037396342E-2,9.855598927E-2,1.174695663E-1
1.361943332E-1,-1.855367208E-2,2.887831774E-2,-2.717844307E-2,4.378200259E-2
1.461433333E-1,-5.410867184E-4,4.910081029E-2,-5.619758964E-2,7.462808739E-2
1.560913334E-1,-3.652833276E-2,5.203637750E-2,2.509741902E-2,6.835191380E-2
1.660393332E-1,-5.769275922E-2,6.647567913E-2,1.319640559E-1,1.586252894E-1
1.759883333E-1,-6.518018282E-2,6.120459694E-2,1.090464789E-1,1.410162880E-1
1.859363334E-1,-3.089082202E-2,4.710413690E-2,4.692565978E-2,7.331480167E-2
1.958843332E-1,-1.753196251E-3,4.633290743E-2,-1.892743707E-2,5.008053396E-2
2.058323333E-1,-1.250595175E-2,4.587683374E-2,-4.850265384E-3,4.779757083E-2
2.157813334E-1,-2.156892587E-2,5.353729838E-2,8.331580639E-2,1.013557323E-1
2.257293332E-1,-3.110292063E-2,6.656937162E-2,9.318883002E-2,1.186719468E-1
2.356773333E-1,-3.314142446E-2,6.209003442E-2,6.638987124E-2,9.675299164E-2
2.456263334E-1,-2.776778759E-2,5.051860020E-2,2.432851017E-2,6.257040356E-2
2.555743332E-1,-2.579353005E-2,4.957014985E-2,1.984720409E-2,5.929938835E-2
2.655223333E-1,-3.081088875E-2,5.597981283E-2,3.452137649E-2,7.262765138E-2
2.754713334E-1,-3.575020541E-2,5.668046001E-2,9.244564891E-2,1.141794628E-1
2.854193333E-1,-2.666597117E-2,5.636453678E-2,7.687100530E-2,9.898073792E-2
2.953673333E-1,-1.381581028E-2,5.509660461E-2,5.980532169E-2,8.248144613E-2
3.053163334E-1,-8.012046749E-3,5.432947733E-2,2.388470650E-2,5.988626056E-2
3.152643333E-1,2.621608274E-3,4.597918742E-2,2.837946117E-2,5.409576991E-2
3.252123334E-1,-1.942375604E-2,5.234106769E-2,5.786872387E-2,8.040932078E-2
3.351613332E-1,-3.164324904E-2,5.123298378E-2,6.849486887E-2,9.120121106E-2
3.451093333E-1,-4.199243702E-2,5.255651018E-2,5.786404610E-2,8.873443165E-2
3.550573334E-1,-4.344249168E-2,4.083033945E-2,4.708704293E-2,7.597075961E-2
3.650063332E-1,-3.558484797E-2,4.011996214E-2,2.748074412E-2,6.025847712E-2
3.749543333E-1,-3.399441445E-2,4.921546597E-2,4.155265331E-2,7.283134835E-2
3.849023334E-1,-3.654261276E-2,5.032215203E-2,6.430358469E-2,8.945743422E-2
3.948503332E-1,-2.427837943E-2,5.368904276E-2,6.370249093E-2,8.677534425E-2
4.047993333E-1,-1.194885828E-2,5.744566868E-2,4.513992012E-2,7.402967278E-2
4.147473334E-1,-1.655045254E-2,5.296389665E-2,3.571245432E-2,6.598841733E-2
4.246953332E-1,-2.002073849E-2,5.529363750E-2,3.721343458E-2,6.959206874E-2
4.346443333E-1,-3.303072936E-2,5.449224005E-2,3.706491530E-2,7.371730634E-2
4.445923334E-1,-3.498335221E-2,5.533714444E-2,8.646102369E-2,1.084506482E-1
4.545403332E-1,-3.103079888E-2,5.659177420E-2,2.942728221E-2,7.093309752E-2
4.644893333E-1,-4.160466612E-2,5.044546433E-2,4.873654246E-2,8.155331805E-2
4.744373334E-1,-4.058663847E-2,5.272049260E-2,4.813837230E-2,8.212203389E-2
4.843853333E-1,-3.419773310E-2,4.933577700E-2,4.125269115E-2,7.283741050E-2
4.943343333E-1,-1.688933523E-2,4.642288146E-2,6.086015940E-2,7.838553801E-2
5.042823334E-1,-1.454599047E-2,4.905624812E-2,4.948323190E-2,7.118069652E-2
