"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.179249986E-3,-1.482621554E-1,-1.434932485E-1,-2.624481815E-1,3.338428179E-1
8.767749998E-3,-5.985120406E-2,5.727570657E-2,9.293055850E-1,9.329906449E-1
1.871574999E-2,7.788303042E-2,2.189971383E-1,3.805648613E-1,4.459317511E-1
2.866275000E-2,4.363517571E-2,2.724783125E-1,8.407652915E-2,2.884741273E-1
3.860974999E-2,-1.992213068E-2,1.991934046E-1,6.346252120E-1,6.654502711E-1
4.855775001E-2,-2.497163080E-3,1.855761895E-2,4.699114859E-2,5.058447480E-2
5.850474999E-2,-1.616378348E-1,-8.800163710E-2,-3.363599110E-1,3.834176150E-1
6.845175000E-2,-9.497898250E-2,-1.381832276E-1,-6.538128501E-1,6.749717435E-1
7.839975000E-2,-1.044048220E-1,-5.893050514E-2,1.524719954E-2,1.208538307E-1
8.834675001E-2,-1.597066456E-3,6.923086887E-2,2.404813617E-1,2.502533700E-1
9.829374999E-2,8.522156015E-2,1.710411260E-1,3.113607252E-1,3.653262683E-1
1.082407500E-1,1.061568032E-1,1.757967761E-1,1.537291467E-1,2.565276280E-1
1.181887500E-1,5.549052422E-2,1.082480781E-1,1.787786186E-1,2.162374601E-1
1.281357500E-1,-2.148426916E-2,6.968072075E-3,7.012273371E-2,7.367038505E-2
1.380827500E-1,-9.022728838E-2,-7.292822778E-2,-2.136578447E-1,2.431237639E-1
1.480307500E-1,-1.274121812E-1,-7.007761879E-2,-1.739587587E-1,2.267297650E-1
1.579777500E-1,-9.572729819E-2,-7.591494899E-3,3.329053760E-2,1.016346708E-1
1.679247500E-1,-4.865091730E-2,7.927534383E-2,1.486280358E-1,1.753333537E-1
1.778717500E-1,-6.501098815E-3,1.226871376E-1,1.650166118E-1,2.057301150E-1
1.878197500E-1,2.074090075E-2,1.376869269E-1,1.410786957E-1,1.982197598E-1
1.977667500E-1,6.861369526E-3,1.024278510E-1,6.802358329E-2,1.231493034E-1
2.077137500E-1,-3.404719471E-2,4.684946325E-2,-6.639513373E-3,5.829379737E-2
2.176617500E-1,-5.993337572E-2,1.573277425E-2,-7.557760119E-2,9.773179377E-2
2.276087500E-1,-6.718998048E-2,1.228370273E-2,-2.301113248E-2,7.207562034E-2
2.375557500E-1,-3.978666628E-2,4.434449779E-2,6.462401211E-2,8.789582606E-2
2.475037500E-1,-2.245068599E-2,7.498076493E-2,9.320754111E-2,1.217119309E-1
2.574507500E-1,-7.101233276E-3,8.940993899E-2,1.026946485E-1,1.363479209E-1
2.673977500E-1,-6.937753349E-3,7.448435459E-2,8.091435492E-2,1.101961176E-1
2.773457500E-1,-2.738831243E-2,3.588807179E-2,2.691882670E-2,5.256136019E-2
2.872927500E-1,-5.927928242E-2,1.317399614E-2,5.643732548E-3,6.098720534E-2
2.972397500E-1,-8.137825839E-2,1.987176239E-3,1.248965263E-3,8.141209813E-2
3.071867500E-1,-8.758228211E-2,1.256990567E-2,2.784210205E-2,9.275689362E-2
3.171347500E-1,-6.883074116E-2,3.053193089E-2,7.122902691E-2,1.036505861E-1
3.270817500E-1,-3.908289449E-2,5.556144912E-2,7.348956048E-2,1.000762848E-1
3.370287500E-1,-1.963031807E-2,6.874017784E-2,7.486774921E-2,1.035168649E-1
3.469767500E-1,-1.856152928E-3,7.321181774E-2,5.932526529E-2,9.424915205E-2
3.569237500E-1,-1.159226035E-2,5.781913217E-2,3.103702068E-2,6.663879649E-2
3.668707500E-1,-2.209884350E-2,4.451783119E-2,2.128620386E-2,5.406753788E-2
3.768187500E-1,-2.810207017E-2,5.234310508E-2,3.293678105E-2,6.792906994E-2
3.867657500E-1,-3.471927733E-2,5.620526411E-2,3.621882319E-2,7.534097879E-2
3.967127500E-1,-2.446358998E-2,5.996798392E-2,5.299214602E-2,8.368269755E-2
4.066597500E-1,-1.691307127E-2,7.617566172E-2,5.255360484E-2,9.407797192E-2
4.166077500E-1,-1.157897620E-2,5.696174763E-2,4.582872212E-2,7.402016721E-2
4.265550000E-1,-2.607142354E-2,5.113912683E-2,3.699942648E-2,6.829265684E-2
4.365020000E-1,-5.143437011E-2,4.152407505E-2,4.672334611E-2,8.094945527E-2
4.464500000E-1,-6.325168887E-2,2.173642119E-2,3.653632700E-2,7.621122845E-2
4.563970000E-1,-6.607214359E-2,2.371356580E-2,4.042180181E-2,8.100483580E-2
4.663440000E-1,-7.088495482E-2,2.357993865E-2,3.861852050E-2,8.409566250E-2
4.762920000E-1,-5.677776590E-2,4.111113371E-2,5.853238285E-2,9.132294267E-2
4.862390000E-1,-2.462965548E-2,5.386992272E-2,4.565915287E-2,7.478868058E-2
4.961860000E-1,-2.023075860E-2,6.281517595E-2,3.787416995E-2,7.608865009E-2
5.061330000E-1,-1.662160585E-2,5.214892270E-2,4.909614623E-2,7.352699840E-2
5.160810000E-1,-3.913698580E-2,4.781529536E-2,5.718050659E-2,8.418798288E-2
5.260280000E-1,-4.001049587E-2,5.041812859E-2,5.568303466E-2,8.510832990E-2
5.359750000E-1,-5.052406827E-2,5.618642511E-2,5.284011841E-2,9.220452242E-2
5.459230000E-1,-4.189989113E-2,5.380436081E-2,5.628471315E-2,8.842216381E-2
5.558700000E-1,-2.024152569E-2,5.691224730E-2,4.161346436E-2,7.335123496E-2
5.658170000E-1,-2.534726415E-2,6.034251636E-2,5.268692136E-2,8.402151369E-2
5.757650000E-1,-3.631984298E-2,5.043762540E-2,4.415758789E-2,7.624288569E-2
5.857120000E-1,-4.023834085E-2,4.271263126E-2,5.373532712E-2,7.956744513E-2
5.956590000E-1,-4.616341583E-2,4.043238161E-2,5.089299560E-2,7.972412085E-2
6.056060000E-1,-4.486905699E-2,3.208782015E-2,4.011540771E-2,6.820635170E-2
6.155540000E-1,-3.865403320E-2,3.211217746E-2,3.592003047E-2,6.177033927E-2
6.255010000E-1,-1.980374740E-2,3.919796130E-2,4.115270376E-2,6.018482872E-2
6.354480000E-1,-9.672939219E-3,4.305074651E-2,3.920265734E-2,5.902356200E-2
6.453960000E-1,-1.751596946E-2,5.495306460E-2,4.593689561E-2,7.373497727E-2
6.553430000E-1,-1.953084231E-2,4.632513246E-2,4.548490584E-2,6.779637422E-2
6.652900000E-1,-2.529093445E-2,4.363864750E-2,4.428915024E-2,6.712295993E-2
6.752380000E-1,-2.760068970E-2,4.561566420E-2,4.877864242E-2,7.226301162E-2
6.851850000E-1,-3.537951021E-2,4.327321479E-2,4.203972638E-2,6.994011334E-2
6.951320000E-1,-4.237198527E-2,4.054399034E-2,5.221388161E-2,7.852063246E-2
7.050790000E-1,-4.545982220E-2,4.981285041E-2,5.056379735E-2,8.428886702E-2
7.150270000E-1,-4.285588805E-2,4.944312366E-2,4.562290013E-2,7.976652577E-2
7.249740000E-1,-4.557711826E-2,5.059042046E-2,4.876753271E-2,8.375521833E-2
7.349210000E-1,-4.906024980E-2,4.193389177E-2,6.224244118E-2,8.966315226E-2
7.448690000E-1,-5.244375028E-2,4.199386228E-2,4.413536847E-2,8.038508669E-2
7.548160000E-1,-4.838122361E-2,4.568754841E-2,5.371778548E-2,8.552014590E-2
7.647630000E-1,-3.921201289E-2,4.852194965E-2,4.084397078E-2,7.456669163E-2
7.747110000E-1,-1.452563028E-2,4.795301557E-2,4.548198223E-2,6.766902057E-2
7.846580000E-1,-1.559907401E-2,5.369945811E-2,4.397983253E-2,7.114203104E-2
7.946050000E-1,-7.304908242E-3,4.920262037E-2,4.353018165E-2,6.609944213E-2
8.045520000E-1,-1.547232647E-3,5.337585127E-2,3.843959570E-2,6.579496900E-2
8.145000000E-1,-7.025795057E-3,5.187695408E-2,3.963710546E-2,6.566338623E-2
8.244470000E-1,-1.887459286E-2,4.270303817E-2,4.263204932E-2,6.322413585E-2
8.343940000E-1,-3.423316358E-2,4.060313858E-2,4.517324924E-2,6.972192480E-2
8.443420000E-1,-3.421158370E-2,3.546246758E-2,4.277647555E-2,6.525217181E-2
8.542890000E-1,-3.828895224E-2,4.380388616E-2,4.951188326E-2,7.639535909E-2
8.642360000E-1,-3.406332937E-2,4.529467033E-2,4.427277803E-2,7.191659366E-2
8.741840000E-1,-3.919308709E-2,3.688789085E-2,4.202569306E-2,6.828596813E-2
8.841310000E-1,-3.615956075E-2,3.777489519E-2,3.678658783E-2,6.393519832E-2
8.940780000E-1,-3.271062628E-2,4.966893582E-2,4.187717378E-2,7.273710154E-2
9.040250000E-1,-3.394555366E-2,4.470152512E-2,3.588845551E-2,6.662212996E-2
9.139730000E-1,-3.623497613E-2,4.807324894E-2,4.876051605E-2,7.746998570E-2
9.239200000E-1,-2.683977965E-2,4.498500545E-2,5.729101896E-2,7.762915265E-2
9.338670000E-1,-2.458445376E-2,4.372264640E-2,4.261860073E-2,6.582104757E-2
9.438150000E-1,-2.163812859E-2,5.748423290E-2,6.028128505E-2,8.606090266E-2
9.537620000E-1,-2.304789685E-2,4.912099689E-2,5.848794401E-2,7.978043293E-2
9.637090000E-1,-2.605700650E-2,4.657124542E-2,4.800856411E-2,7.178210582E-2
9.736570000E-1,-3.828490030E-2,4.331140442E-2,4.486334682E-2,7.317329589E-2
9.836040000E-1,-4.032969902E-2,4.076812143E-2,4.097085536E-2,7.047790672E-2
9.935510000E-1,-2.877251740E-2,3.834867150E-2,3.782446861E-2,6.106692058E-2
1.003498000E0,-4.223977424E-2,3.556810118E-2,4.830092490E-2,7.336394002E-2
1.013446000E0,-2.460767360E-2,4.781566082E-2,2.554063797E-2,5.953317736E-2
1.023393000E0,-2.728301230E-2,5.427933745E-2,9.215153396E-2,1.103744284E-1
1.033340000E0,-3.040759533E-2,4.644498210E-2,2.853441238E-2,6.241771308E-2
1.043288000E0,-3.181283200E-2,4.070230370E-2,1.371698320E-2,5.344987778E-2
1.053235000E0,-2.436522885E-2,4.473562170E-2,9.515057087E-2,1.079285475E-1
1.063182000E0,-2.860664834E-2,5.643105799E-2,1.057527423E-2,6.414546796E-2
1.073130000E0,-2.892090877E-2,5.993502025E-2,4.260690629E-2,7.901882105E-2
1.083077000E0,-3.614993569E-2,3.873363756E-2,5.203437209E-2,7.426094806E-2
1.093024000E0,-4.067721093E-2,2.763721196E-2,2.344908893E-2,5.448220577E-2
1.102971000E0,-2.545310332E-2,4.225309493E-2,8.101024926E-2,9.484642842E-2
1.112919000E0,-1.856160237E-2,9.100359762E-2,1.651440811E-1,1.894696688E-1
1.122866000E0,-1.633847727E-2,5.619649328E-2,3.558615446E-2,6.849354777E-2
1.132813000E0,-4.375670187E-2,8.749773502E-3,-5.606310368E-2,7.165388397E-2
1.142761000E0,-8.631597620E-2,-2.867364921E-3,-3.522538126E-2,9.327109420E-2
1.152708000E0,-3.075037007E-2,4.575435285E-2,-4.773666859E-3,5.533384099E-2
1.162655000E0,-1.557974622E-2,1.011859755E-1,1.473393095E-1,1.794162820E-1
1.172603000E0,9.940997511E-4,1.199512072E-1,1.412248760E-1,1.852936749E-1
1.182550000E0,3.875392922E-3,1.126475963E-1,1.549927300E-1,1.916435388E-1
1.192497000E0,2.243934559E-2,8.768800708E-2,8.408646941E-2,1.235445068E-1
1.202444000E0,2.783473593E-2,7.558942353E-2,-1.438239634E-2,8.182534326E-2
1.212392000E0,4.632223626E-2,4.862296030E-2,-4.745600224E-2,8.223146593E-2
1.222339000E0,5.667871042E-2,2.992813278E-2,-4.230168164E-2,7.679584374E-2
1.232286000E0,1.430183907E-1,6.135984052E-2,1.967178762E-2,1.568638560E-1
1.242234000E0,6.211230408E-1,2.115546012E-1,1.407787335E-1,6.710945037E-1
