"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.591208337E-3,3.545366478E-2,-2.636911305E-2,6.346287203E-1,6.361649983E-1
1.653820835E-2,1.075883751E-1,1.365199048E-1,3.425205374E-1,3.841005876E-1
2.648620834E-2,6.334131116E-2,1.722770264E-1,3.958389580E-1,4.363255393E-1
3.643320836E-2,-2.284573393E-3,5.051398639E-2,5.978164047E-1,5.999511112E-1
4.638120835E-2,1.368716468E-2,-1.573419220E-1,-2.276169026E-1,2.770438110E-1
5.632820833E-2,-9.017019580E-2,-2.434427755E-1,-5.267984623E-1,5.872918091E-1
6.627620835E-2,-9.777810859E-2,-2.642668300E-1,-4.095980412E-1,4.971600057E-1
7.622320834E-2,-2.518032158E-2,-1.687739595E-1,3.403898120E-2,1.740038800E-1
8.617120836E-2,8.059162516E-2,-6.252320346E-3,2.913421977E-1,3.023481068E-1
9.611820834E-2,1.292813625E-1,8.546137822E-2,2.774188077E-1,3.177711641E-1
1.060662083E-1,7.120105164E-2,6.974635118E-2,3.542763644E-1,3.680297348E-1
1.160132083E-1,3.986139187E-2,-3.234363584E-2,1.787704325E-1,1.859943786E-1
1.259612083E-1,-1.906592015E-3,-1.699028010E-1,-2.809136885E-1,3.283033617E-1
1.359082084E-1,-1.016822579E-1,-2.156449113E-1,-1.691646266E-1,2.923331665E-1
1.458562083E-1,-6.433811981E-2,-2.013422198E-1,-1.868828595E-1,2.821405435E-1
1.558032084E-1,-5.478171834E-2,-1.196956656E-1,1.690576226E-1,2.142628497E-1
1.657512083E-1,2.455752002E-2,-3.860898223E-2,1.602271575E-1,1.666327317E-1
1.756992083E-1,2.341772410E-2,-3.165783053E-3,2.550087690E-1,2.561013164E-1
1.856462084E-1,3.498570023E-2,-2.765272535E-2,1.556558043E-1,1.619178861E-1
1.955942083E-1,2.827951489E-2,-9.148125119E-2,-6.601331055E-2,1.163026545E-1
2.055412084E-1,-2.919411992E-2,-1.360891021E-1,-8.115058243E-2,1.611147336E-1
2.154892083E-1,-2.638430896E-2,-1.380697733E-1,-1.001914555E-1,1.726201663E-1
2.254362083E-1,-2.944653234E-3,-9.259732020E-2,5.786170721E-2,1.092287135E-1
2.353842084E-1,3.266369324E-2,-3.738729788E-2,1.154889411E-1,1.257076864E-1
2.453312083E-1,3.475838515E-2,-1.410905728E-2,1.689436018E-1,1.730582314E-1
2.552792084E-1,3.639302911E-2,-3.130244316E-2,1.192703354E-1,1.285679137E-1
2.652262083E-1,1.507606798E-2,-8.685476057E-2,1.974253893E-2,9.033717454E-2
2.751742083E-1,-2.212311401E-2,-1.205616016E-1,-3.340104997E-2,1.270439377E-1
2.851212083E-1,-5.526420956E-2,-1.389820212E-1,-2.608092070E-2,1.518234155E-1
2.950692083E-1,-5.019448630E-2,-1.201930626E-1,2.405193686E-2,1.324551034E-1
3.050162084E-1,-1.963548006E-2,-8.972055405E-2,7.569220662E-2,1.190152933E-1
3.149642083E-1,-2.067228276E-3,-6.141749041E-2,1.125232333E-1,1.282102164E-1
3.249112084E-1,1.609579955E-2,-6.306111989E-2,9.562010229E-2,1.156675562E-1
3.348592083E-1,2.081772768E-2,-7.461849337E-2,4.772848248E-2,9.099068842E-2
3.448062083E-1,1.259640543E-2,-9.474983560E-2,-8.106579781E-3,9.592662514E-2
3.547542084E-1,5.622271439E-3,-9.931883164E-2,-2.126632333E-3,9.950056693E-2
3.647012083E-1,7.593075475E-3,-8.702350756E-2,2.406070769E-2,9.060719242E-2
3.746492084E-1,1.162484944E-2,-7.805366862E-2,7.106238127E-2,1.061949827E-1
3.845962083E-1,1.439724735E-2,-5.971238294E-2,8.843153536E-2,1.076707289E-1
3.945442083E-1,6.911550513E-3,-6.064791004E-2,7.347143412E-2,9.551957995E-2
4.044912083E-1,1.559749343E-3,-7.705684626E-2,4.174268782E-2,8.765068374E-2
4.144392083E-1,-1.953196151E-2,-9.129782220E-2,1.240194440E-2,9.418385257E-2
4.243862084E-1,-2.355402361E-2,-1.021069394E-1,1.898357034E-2,1.064941080E-1
4.343342083E-1,-2.482242173E-2,-9.455886919E-2,4.203212500E-2,1.064153743E-1
4.442812084E-1,-2.985545372E-2,-8.634734103E-2,5.939601660E-2,1.089729242E-1
4.542292083E-1,-1.471349036E-2,-8.877299448E-2,7.122610331E-2,1.147618802E-1
4.641762083E-1,9.475001832E-4,-8.358616702E-2,4.892833114E-2,9.685828133E-2
4.741242084E-1,2.046366050E-2,-7.996847643E-2,3.994934678E-2,9.170424707E-2
4.840712083E-1,2.168171318E-2,-8.374760499E-2,3.455996811E-2,9.315658551E-2
4.940192083E-1,2.118717578E-2,-7.722077843E-2,2.931910872E-2,8.527341423E-2
5.039662083E-1,2.587874408E-2,-7.800366579E-2,3.725085676E-2,9.023251964E-2
5.139142083E-1,2.360143174E-2,-7.441157046E-2,5.207120955E-2,9.383773368E-2
5.238612083E-1,1.041168923E-2,-7.055273704E-2,6.479825914E-2,9.635821897E-2
5.338092083E-1,6.648891759E-3,-7.804901825E-2,4.968437612E-2,9.275987410E-2
5.437562084E-1,-8.532978846E-3,-7.940409221E-2,3.681348503E-2,8.793778634E-2
5.537042083E-1,-1.072852610E-2,-8.296985222E-2,3.995577872E-2,9.271225325E-2
5.636512084E-1,-8.665971025E-3,-8.519888392E-2,3.306892812E-2,9.180143181E-2
5.735992084E-1,-1.492033104E-2,-8.659804040E-2,4.519429922E-2,9.881478412E-2
5.835462083E-1,-8.962813150E-3,-8.180251043E-2,5.447675407E-2,9.868991573E-2
5.934942084E-1,-1.003732125E-2,-7.528254978E-2,4.908971429E-2,9.043235134E-2
6.034412083E-1,-1.692343638E-2,-7.718193099E-2,4.639765620E-2,9.163075723E-2
6.133892083E-1,-2.247747355E-3,-8.229181275E-2,3.637026608E-2,8.999883926E-2
6.233362083E-1,6.990963011E-3,-7.786773629E-2,3.756836057E-2,8.673891650E-2
6.332842083E-1,1.449717079E-2,-6.819287846E-2,4.250808835E-2,8.165399077E-2
6.432312083E-1,2.571515452E-2,-7.450804495E-2,4.056213498E-2,8.864538752E-2
6.531792083E-1,1.905559616E-2,-7.027137633E-2,5.119295776E-2,8.900506166E-2
6.631262084E-1,1.095726643E-2,-6.837109063E-2,4.550654054E-2,8.285839096E-2
6.730742083E-1,3.323488855E-3,-7.409864849E-2,5.119646609E-2,9.012620832E-2
6.830212084E-1,-1.359261566E-2,-8.636462686E-2,4.520891726E-2,9.842486562E-2
6.929692084E-1,-2.190445555E-2,-8.699711286E-2,3.278592288E-2,9.551554617E-2
7.029162083E-1,-1.250382300E-2,-8.601111699E-2,3.757596195E-2,9.469007737E-2
7.128642084E-1,-6.938424865E-3,-8.001227573E-2,4.985160649E-2,9.452665590E-2
7.228112083E-1,-4.890716239E-3,-8.089052752E-2,5.628997564E-2,9.866994428E-2
7.327592083E-1,-1.482305713E-3,-7.265674795E-2,4.970718026E-2,8.804546566E-2
7.427062083E-1,-1.447108216E-3,-7.001717320E-2,3.384251475E-2,7.778055329E-2
7.526542083E-1,3.129274501E-3,-7.627167940E-2,4.147839367E-2,8.687703136E-2
7.626012083E-1,6.831311183E-3,-7.053779466E-2,4.387458265E-2,8.335002274E-2
7.725492083E-1,1.243212151E-2,-6.949830133E-2,4.327641249E-2,8.280953696E-2
7.824972083E-1,1.463401391E-2,-6.693588698E-2,4.612166762E-2,8.259404066E-2
7.924442083E-1,7.845364558E-3,-6.616382154E-2,4.642279923E-2,8.120515571E-2
8.023922083E-1,1.040427058E-2,-7.110453147E-2,4.507618546E-2,8.482903829E-2
8.123392084E-1,3.326389622E-3,-7.556699855E-2,5.630459368E-2,9.429551107E-2
8.222872083E-1,-1.815480061E-2,-8.328890920E-2,3.864249408E-2,9.359423876E-2
8.322342084E-1,-2.237183995E-2,-8.133143499E-2,4.493058980E-2,9.557227338E-2
8.421822083E-1,-1.634271650E-2,-7.987313027E-2,4.627837300E-2,9.374694197E-2
8.521292083E-1,-1.859437418E-2,-7.841982309E-2,4.732736349E-2,9.346282009E-2
8.620772084E-1,-1.581046456E-2,-7.623572359E-2,3.804783225E-2,8.665733598E-2
8.720242083E-1,-1.149302213E-3,-7.745097600E-2,4.822900414E-2,9.124698033E-2
8.819722084E-1,-5.813959613E-3,-7.403218210E-2,4.344188869E-2,8.603350397E-2
8.919192083E-1,8.739449512E-3,-7.551096578E-2,4.823309720E-2,9.002619394E-2
9.018672083E-1,9.915557555E-3,-7.137853748E-2,4.164796293E-2,8.323320677E-2
9.118142083E-1,1.236264928E-2,-6.823390947E-2,3.880446196E-2,7.946375127E-2
9.217622083E-1,9.344974374E-3,-7.189073530E-2,4.134975493E-2,8.345902348E-2
9.317092084E-1,1.206030255E-2,-6.845369169E-2,5.362539947E-2,8.778976177E-2
9.416576250E-1,9.065705873E-3,-6.215214281E-2,4.374594390E-2,7.654269062E-2
9.516046250E-1,5.115614771E-3,-6.294139358E-2,4.195143342E-2,7.581366174E-2
9.615526250E-1,1.873429623E-3,-8.358792119E-2,4.120591342E-2,9.321146715E-2
9.714996250E-1,-2.657979783E-3,-7.772616059E-2,4.090712070E-2,8.787384947E-2
9.814476250E-1,-1.392006431E-2,-7.847946469E-2,4.689525425E-2,9.247680487E-2
9.913946250E-1,-1.475505127E-2,-8.056514824E-2,3.926405311E-2,9.083017403E-2
1.001342625E0,-1.288034257E-2,-8.205072474E-2,4.420495033E-2,9.408667434E-2
1.011289625E0,-3.311680220E-3,-7.336152017E-2,4.211223185E-2,8.465411944E-2
1.021237625E0,-1.112240916E-3,-7.438527170E-2,4.555624187E-2,8.723403521E-2
1.031184625E0,3.411224498E-3,-6.555174597E-2,4.899966717E-2,8.191236313E-2
1.041132625E0,1.696852846E-3,-7.482548024E-2,4.316239178E-2,8.639863348E-2
1.051079625E0,4.555821531E-3,-6.133915143E-2,4.615675092E-2,7.690053747E-2
1.061027625E0,1.644415199E-3,-6.862953756E-2,4.541006148E-2,8.230911985E-2
1.070974625E0,-1.270770353E-2,-7.073146541E-2,4.406403244E-2,8.429747850E-2
1.080922625E0,-4.502758048E-3,-6.926660541E-2,4.945458055E-2,8.522847524E-2
1.090869625E0,-4.818005199E-3,-6.530614007E-2,5.035329759E-2,8.260484055E-2
1.100817625E0,-1.098434178E-2,-7.106196557E-2,3.344022632E-2,7.930137105E-2
1.110764625E0,-1.416367393E-2,-7.579039416E-2,4.646489918E-2,9.002099956E-2
1.120712625E0,-1.206355507E-2,-7.821820378E-2,4.826174855E-2,9.269742789E-2
1.130659625E0,-1.748431227E-2,-7.573578665E-2,5.020945609E-2,9.253431815E-2
1.140607625E0,-1.673963281E-2,-6.809824493E-2,4.317642510E-2,8.235162386E-2
1.150554625E0,-1.166372885E-2,-7.180669528E-2,5.096082330E-2,8.882144768E-2
1.160502625E0,-5.411968105E-3,-6.809570504E-2,4.243090510E-2,8.041577054E-2
1.170449625E0,-9.031892521E-4,-6.283060255E-2,4.647367001E-2,7.815562917E-2
1.180397625E0,6.202968475E-3,-5.948546072E-2,3.898981869E-2,7.139469740E-2
1.190344625E0,2.352467333E-3,-6.372754259E-2,4.557787657E-2,7.838416051E-2
1.200292625E0,8.702749098E-3,-6.762560261E-2,5.470947325E-2,8.741902787E-2
1.210239625E0,-8.529077657E-4,-6.646367406E-2,4.333371520E-2,7.934707490E-2
1.220187625E0,5.675426284E-3,-6.658758936E-2,5.381309509E-2,8.580190396E-2
1.230134625E0,-1.919595217E-3,-7.115047323E-2,4.782554626E-2,8.575172046E-2
1.240082625E0,-1.399663542E-2,-7.476487476E-2,3.734733582E-2,8.473792418E-2
1.250029625E0,-1.488087147E-2,-7.633180065E-2,3.944297791E-2,8.719938436E-2
1.259977625E0,-1.844407790E-2,-6.859929192E-2,4.587900817E-2,8.456317315E-2
1.269924625E0,-5.199956289E-3,-7.674616724E-2,4.947153747E-2,9.145734936E-2
1.279872625E0,-3.012407846E-3,-7.029677060E-2,4.677947938E-2,8.449278224E-2
1.289819625E0,-4.160600002E-3,-6.298238348E-2,4.827753603E-2,7.946578954E-2
1.299767625E0,-4.854331026E-4,-6.601363946E-2,5.172154605E-2,8.386390502E-2
1.309714625E0,2.921168441E-3,-6.480800298E-2,4.947738469E-2,8.158812457E-2
1.319662625E0,1.168616754E-2,-6.864212278E-2,4.618364811E-2,8.355379635E-2
1.329609625E0,1.250089025E-2,-7.732019023E-2,4.842956364E-2,9.208749486E-2
1.339557625E0,2.057900140E-4,-6.934045392E-2,5.187298894E-2,8.659646575E-2
1.349504625E0,1.104082223E-3,-6.991298312E-2,4.334190130E-2,8.226520902E-2
1.359452625E0,1.863050815E-3,-6.971993821E-2,5.037785590E-2,8.603644058E-2
1.369399625E0,-5.726799555E-4,-6.811350251E-2,5.382069647E-2,8.681269812E-2
1.379347625E0,1.750692911E-3,-7.157345532E-2,5.307342231E-2,8.912133633E-2
1.389294625E0,-1.011849248E-2,-6.752689887E-2,4.528960884E-2,8.193542963E-2
1.399242625E0,-7.020715289E-3,-6.754660124E-2,3.720641792E-2,7.743481980E-2
1.409189625E0,2.818211764E-3,-7.175363636E-2,4.005167305E-2,8.222325196E-2
1.419137625E0,-8.711314355E-3,-6.248908404E-2,3.735903025E-2,7.332441451E-2
1.429084625E0,-6.039232733E-3,-6.083337184E-2,4.798868358E-2,7.771798513E-2
1.439032625E0,4.425565666E-3,-5.976271468E-2,4.828923047E-2,7.696114264E-2
1.448979625E0,3.623948945E-4,-6.422260989E-2,3.526689649E-2,7.326956353E-2
1.458927625E0,1.741625159E-3,-6.181733033E-2,4.918853223E-2,7.901852498E-2
1.468875625E0,2.240145975E-3,-6.146017509E-2,4.634444654E-2,7.700765612E-2
1.478822625E0,1.801216509E-3,-6.534437994E-2,3.901203811E-2,7.612536692E-2
1.488770625E0,4.711206718E-3,-7.151171238E-2,3.961313188E-2,8.188602258E-2
1.498717625E0,-1.017251071E-3,-5.933654402E-2,4.635087848E-2,7.530115664E-2
