"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.014250010E-3,-1.186853398E-1,-1.759929685E-1,-4.332324868E-1,4.824418333E-1
8.933750010E-3,-1.112021189E-1,-8.571935920E-3,5.681733602E-1,5.790167153E-1
1.888074999E-2,1.020328625E-1,1.963453172E-1,3.422264224E-1,4.075305054E-1
2.882875002E-2,6.247116781E-2,2.216815584E-1,2.401100636E-1,3.327133943E-1
3.877675001E-2,3.939313496E-2,7.849013586E-2,1.842445958E-1,2.041043644E-1
4.872475000E-2,-9.052492993E-2,-4.969599746E-2,1.094247937E-2,1.038469689E-1
5.867274999E-2,-9.619564190E-2,-1.131304301E-1,-4.212608975E-1,4.466686014E-1
6.862075001E-2,-7.970622880E-2,-9.122518882E-2,-8.242235184E-2,1.465215413E-1
7.856875000E-2,-1.777940480E-2,1.384712943E-2,2.072960740E-1,2.085174154E-1
8.851674999E-2,5.321317533E-2,9.189157954E-2,1.816057473E-1,2.103719370E-1
9.846475002E-2,5.423213489E-2,7.424742359E-2,1.955127650E-1,2.160533399E-1
1.084117500E-1,1.324883136E-3,-1.138708703E-3,7.032855570E-2,7.035025032E-2
1.183597500E-1,-4.540953614E-2,-6.705601528E-2,-4.299340725E-2,9.168952080E-2
1.283077500E-1,-6.629944040E-2,-9.468282103E-2,-9.981957257E-2,1.527232774E-1
1.382557500E-1,-5.825002172E-2,-7.213103302E-2,-3.955056667E-3,9.279867147E-2
1.482037500E-1,-1.490296755E-2,-8.451428460E-3,1.023011309E-1,1.037258235E-1
1.581517500E-1,1.295332313E-2,3.884946724E-2,1.337755233E-1,1.399033964E-1
1.680997500E-1,3.049943773E-2,3.518207531E-2,7.934671640E-2,9.199943222E-2
1.780477500E-1,1.354085867E-2,6.850999855E-3,3.746135652E-2,4.041836569E-2
1.879947500E-1,-8.600632958E-3,-1.153579817E-2,-6.568762064E-3,1.581752704E-2
1.979427500E-1,-4.019820976E-2,-1.482070911E-2,-1.035483420E-2,4.407688825E-2
2.078907500E-1,-3.644552157E-2,-4.720283607E-3,4.605150104E-2,5.891772117E-2
2.178387500E-1,-2.981901369E-2,2.700117194E-2,7.240548670E-2,8.282989417E-2
2.277867500E-1,-2.372953144E-2,3.743792198E-2,8.051499009E-2,9.190947880E-2
2.377347500E-1,-1.738933156E-2,3.043541528E-2,6.272366703E-2,7.185375259E-2
2.476827500E-1,-1.345739880E-2,1.621496854E-2,2.335787237E-2,3.145817841E-2
2.576307500E-1,-2.693510754E-2,-9.832175346E-3,1.495893180E-2,3.234101623E-2
2.675787500E-1,-3.476102097E-2,-1.285961693E-2,3.230879009E-2,4.916865102E-2
2.775257500E-1,-4.589524790E-2,-1.891945196E-2,5.506089091E-2,7.413515462E-2
2.874737500E-1,-3.501770917E-2,-1.556329636E-2,7.003853381E-2,7.983641003E-2
2.974217500E-1,-2.777487734E-2,-9.287781296E-3,5.388267696E-2,6.132739656E-2
3.073697500E-1,-1.674933096E-2,-2.039864221E-2,2.978396237E-2,3.979609410E-2
