"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.740291675E-3,-4.140372473E-1,-4.205287896E-1,-8.630507845E-1,1.045527600E0
1.268729166E-2,-6.737567069E-2,-2.655409018E-1,-3.493711352E-3,2.739774763E-1
2.263429167E-2,6.975287905E-2,1.097507212E-1,1.676474496E0,1.681510458E0
3.258229166E-2,2.349164204E-1,3.114778157E-1,-2.755675793E-1,4.776417538E-1
4.252929168E-2,1.384459868E-2,4.347358060E-1,6.959800458E-1,8.207162226E-1
5.247629166E-2,-3.043930048E-2,4.234506067E-1,9.606203485E-1,1.050251599E0
6.242429165E-2,-6.474098840E-3,2.603825247E-1,9.439581227E-1,9.792333280E-1
7.237129167E-2,2.091275133E-1,-8.358169025E-2,-1.000744527E0,1.025772794E0
8.231829168E-2,-2.447407660E-1,-1.751974000E-1,-4.573873347E-1,5.475357024E-1
9.226629167E-2,-3.119636416E-2,-2.310614060E-1,-1.440581444E0,1.459327750E0
1.022132917E-1,-8.259609637E-2,-8.716860987E-2,3.320458353E-1,3.530933565E-1
1.121602917E-1,1.350218573E-1,1.057935540E-1,4.704535228E-1,5.007491339E-1
1.221072917E-1,1.613716038E-1,2.673608842E-1,3.718700516E-1,4.856026896E-1
1.320552917E-1,8.858612113E-2,2.956918135E-1,4.654564923E-1,5.585077400E-1
1.420022917E-1,7.867766703E-2,2.197247146E-1,4.754026061E-1,5.296005697E-1
1.519492917E-1,4.963093805E-2,3.082109397E-2,7.592609525E-2,9.580157507E-2
1.618972917E-1,-1.101710903E-1,-1.315523023E-1,-3.403670079E-1,3.811736840E-1
1.718442917E-1,-1.364148011E-1,-1.895338957E-1,-6.220788413E-1,6.644653342E-1
1.817912917E-1,-8.197450080E-2,-1.185067073E-1,-2.817299598E-1,3.164418252E-1
1.917349167E-1,-1.512201887E-2,2.085957639E-2,3.199672419E-1,3.210028555E-1
2.016819167E-1,1.013055511E-1,1.584365208E-1,2.656191266E-1,3.254511733E-1
2.116289167E-1,8.736259125E-2,2.236931833E-1,3.775716716E-1,4.474720436E-1
2.215769167E-1,1.149634043E-1,2.037118039E-1,2.537890399E-1,3.451433907E-1
2.315239167E-1,6.887377759E-2,9.798389403E-2,8.664813459E-2,1.478253698E-1
2.414709167E-1,-1.370808904E-2,-2.250849120E-3,-1.721519691E-1,1.727115470E-1
2.514189167E-1,-5.792559718E-2,-5.171388986E-2,-3.146644020E-1,3.241039758E-1
2.613659167E-1,-5.159989199E-2,-2.074599423E-2,-1.449770343E-1,1.552780912E-1
2.713129167E-1,-2.471140686E-2,5.232468635E-2,1.515042812E-1,1.621791406E-1
2.812599167E-1,1.377924234E-2,1.252523294E-1,2.113914639E-1,2.460982823E-1
2.912079167E-1,1.246124796E-2,1.545235092E-1,2.549994135E-1,2.984250299E-1
3.011549167E-1,8.769206358E-3,1.161474655E-1,1.620076346E-1,1.995334719E-1
3.111019167E-1,-8.018848705E-3,3.598875353E-2,6.797972918E-3,3.749272931E-2
3.210499167E-1,-5.602877869E-2,-2.317364853E-2,-9.188314676E-2,1.100852156E-1
3.309969167E-1,-5.235469901E-2,-4.489775402E-2,-1.444642335E-1,1.600835332E-1
3.409439167E-1,-1.925729312E-2,1.138726976E-3,-1.442741990E-2,2.408921922E-2
3.508919167E-1,3.125820532E-2,5.008008644E-2,1.026858777E-1,1.184461056E-1
3.608389167E-1,8.414891585E-2,1.062744601E-1,1.464283133E-1,1.995408525E-1
3.707859167E-1,9.780699749E-2,1.206201104E-1,1.371253932E-1,2.071685141E-1
3.807329167E-1,8.635523477E-2,8.945483465E-2,8.800878167E-2,1.523316765E-1
3.906809167E-1,4.565570849E-2,5.369982356E-2,7.831175923E-3,7.091855952E-2
4.006279167E-1,-1.435379523E-3,1.766911626E-2,-5.718401492E-2,5.986876937E-2
4.105749167E-1,-1.709524174E-2,1.398789201E-2,-3.708421111E-2,4.316418801E-2
4.205229167E-1,-2.342510164E-2,3.001291741E-2,2.958515704E-2,4.821609809E-2
4.304699167E-1,-7.233156511E-3,7.105408553E-2,9.856651425E-2,1.217224686E-1
4.404169167E-1,4.574854674E-3,9.277296508E-2,1.219618088E-1,1.533050395E-1
4.503649167E-1,-1.639627791E-3,8.313730186E-2,1.069221854E-1,1.354505558E-1
4.603119167E-1,-8.544824026E-3,7.146558333E-2,4.889967978E-2,8.701449478E-2
4.702589167E-1,-2.737516305E-2,4.480854744E-2,1.477415979E-2,5.454797222E-2
4.802069167E-1,-3.498599488E-2,3.099830115E-2,-8.431684971E-4,4.675067320E-2
4.901539167E-1,-2.050291908E-2,3.409314103E-2,3.651761591E-2,5.400229836E-2
5.001009167E-1,2.330398662E-3,5.228061296E-2,6.417202234E-2,8.280544488E-2
5.100479167E-1,3.482071282E-2,6.915766904E-2,8.183763027E-2,1.126617191E-1
5.199959167E-1,5.436253237E-2,7.225053549E-2,7.558578730E-2,1.178500575E-1
5.299429167E-1,3.932527985E-2,6.223072847E-2,5.511760890E-2,9.196244893E-2
5.398899167E-1,2.027916029E-2,4.944590108E-2,3.612117469E-2,6.450488925E-2
5.498379167E-1,1.837588018E-3,3.845775861E-2,2.038924098E-2,4.356715592E-2
5.597849167E-1,-1.083319354E-2,2.694217902E-2,2.499450803E-2,3.831402516E-2
5.697319167E-1,-1.966108219E-2,3.332816077E-2,3.978328586E-2,5.549805661E-2
5.796799167E-1,-7.307968894E-4,4.785695678E-2,6.357560635E-2,7.957813832E-2
5.896269167E-1,5.351248425E-3,6.177225195E-2,6.568703592E-2,9.032847645E-2
5.995739167E-1,5.723108500E-3,6.626150658E-2,6.616066039E-2,9.381137569E-2
6.095219167E-1,1.870151527E-2,6.429854147E-2,5.420135021E-2,8.615007530E-2
6.194689167E-1,1.029885396E-2,5.664970731E-2,3.668133795E-2,6.826987832E-2
6.294159167E-1,6.003843374E-3,4.194096325E-2,3.082359731E-2,5.239451006E-2
6.393629167E-1,3.194635408E-4,4.819189260E-2,4.173157811E-2,6.375017789E-2
6.493109167E-1,5.362026945E-3,5.239611374E-2,4.785829067E-2,7.116544143E-2
6.592579167E-1,2.602683852E-2,6.052836645E-2,5.280152678E-2,8.443388360E-2
6.692049167E-1,2.251343621E-2,6.045710351E-2,6.014738381E-2,8.820217659E-2
6.791529167E-1,1.289791163E-2,5.509345260E-2,5.417094469E-2,7.833349151E-2
6.890999167E-1,4.090104508E-3,4.742342228E-2,3.201876819E-2,5.736646627E-2
6.990469167E-1,-7.248788676E-3,4.143766416E-2,2.902031600E-2,5.110580876E-2
7.089949167E-1,-2.486260992E-2,3.353475021E-2,3.409979224E-2,5.390291898E-2
7.189419167E-1,-2.945377741E-2,3.915288292E-2,4.861024261E-2,6.901759870E-2
7.288889167E-1,-1.964422348E-2,3.834845223E-2,4.980424404E-2,6.585561501E-2
7.388369167E-1,-1.105247098E-3,4.858250488E-2,4.935576260E-2,6.926379035E-2
7.487839167E-1,1.064529007E-2,5.234862339E-2,4.905872405E-2,7.252902161E-2
7.587309167E-1,1.751338618E-2,5.347965762E-2,5.280269623E-2,7.716811002E-2
7.686779167E-1,2.289271037E-2,5.508532131E-2,4.576440275E-2,7.518543324E-2
7.786259167E-1,2.313208076E-2,5.125020565E-2,4.306240439E-2,7.082405956E-2
7.885729167E-1,2.153310026E-2,5.262115845E-2,5.263780475E-2,7.748160564E-2
7.985199167E-1,1.650545411E-2,5.525847198E-2,5.667764604E-2,8.085965806E-2
8.084679167E-1,2.846306722E-2,5.435429145E-2,4.784835041E-2,7.780745357E-2
8.184149167E-1,2.585688097E-2,5.695379907E-2,4.037034631E-2,7.444513674E-2
8.283619167E-1,2.452349882E-2,5.311078968E-2,5.099824548E-2,7.760785409E-2
8.383099167E-1,8.332063034E-3,4.521534920E-2,4.411081016E-2,6.371510536E-2
8.482569167E-1,5.233449871E-3,4.074665118E-2,3.498038292E-2,5.395651739E-2
8.582039167E-1,-1.230000642E-2,4.659708280E-2,3.902256310E-2,6.201079514E-2
8.681509167E-1,-1.610139552E-2,4.009799397E-2,4.306708217E-2,6.100719322E-2
8.780989167E-1,-1.756917455E-2,4.040442461E-2,3.962424159E-2,5.925600344E-2
8.880459167E-1,-1.223145238E-2,3.996780206E-2,4.321384728E-2,6.012046428E-2
8.979929167E-1,4.301403696E-3,4.115091305E-2,4.440843344E-2,6.069603512E-2
9.079409167E-1,1.161245151E-2,5.252044016E-2,4.485516071E-2,7.003735509E-2
9.178879167E-1,2.583764455E-2,5.778613195E-2,4.485282183E-2,7.757961425E-2
9.278349167E-1,2.078785207E-2,5.572661469E-2,5.398149490E-2,8.032180383E-2
9.377829167E-1,1.841927977E-2,5.825363511E-2,4.964286089E-2,7.872210305E-2
9.477299167E-1,6.760927609E-3,5.356875457E-2,5.847624958E-2,7.959141519E-2
9.576769167E-1,-3.223366707E-3,5.513303094E-2,4.515512288E-2,7.133741175E-2
9.676239167E-1,2.324969431E-3,5.168333815E-2,4.785010457E-2,7.047130929E-2
9.775719167E-1,-3.425171021E-3,4.657405939E-2,5.144204915E-2,6.947776065E-2
