"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-7.732500089E-4,-3.415456238E-1,-4.983595788E-1,-1.431370910E0,1.553653232E0
9.173750004E-3,-1.089563861E-1,-2.793391430E-1,-1.583683276E-1,3.390905160E-1
1.912075002E-2,-3.061555521E-2,1.374876647E-1,1.855984601E0,1.861321844E0
2.906875001E-2,2.010716582E-1,3.632304250E-1,-1.028624636E-1,4.277228540E-1
3.901574999E-2,6.875952847E-2,3.118335456E-1,5.894636571E-2,3.247194281E-1
4.896275001E-2,-3.017026461E-2,7.648214718E-2,7.830456716E-1,7.873501683E-1
5.891075000E-2,-1.708323621E-1,-7.183673535E-2,-2.007945549E-1,2.732446995E-1
6.885775001E-2,-9.312500400E-2,-9.979389964E-2,-1.053158383E0,1.061966887E0
7.880475000E-2,-8.149114620E-2,-3.257767064E-2,5.445511937E-2,1.032834525E-1
8.875275002E-2,8.924322026E-3,1.599369163E-1,5.379549497E-1,5.612975937E-1
9.869975000E-2,1.720830085E-1,2.967963891E-1,1.251514649E-1,3.651897418E-1
1.086477500E-1,1.447342835E-1,2.298819312E-1,2.806131417E-1,3.905604312E-1
1.185947500E-1,4.391064352E-2,7.426778834E-2,1.513978618E-1,1.742560231E-1
1.285417500E-1,-5.174198390E-2,-6.448501283E-2,-1.642231447E-1,1.838607925E-1
1.384897500E-1,-8.074005308E-2,-1.278130810E-1,-2.755798584E-1,3.143237156E-1
1.484367500E-1,-1.053284994E-1,-8.948756078E-2,6.667580009E-3,1.383711420E-1
1.583837500E-1,-6.442800248E-2,-8.204173464E-3,2.464478606E-1,2.548623628E-1
1.683317500E-1,-3.336226649E-2,2.263468143E-2,1.621631706E-1,1.670995617E-1
1.782787500E-1,-3.001172969E-2,1.359989271E-3,1.367312908E-1,1.399928547E-1
1.882257500E-1,-1.881350772E-2,-2.566330159E-2,4.921133637E-2,5.860297560E-2
1.981737500E-1,-4.153158506E-3,-2.499023225E-2,-1.162894249E-1,1.190167668E-1
2.081207500E-1,2.859710093E-2,-5.523608811E-4,-6.043682098E-2,6.686335779E-2
2.180677500E-1,3.937511366E-2,5.533278644E-2,1.011673558E-1,1.218480640E-1
2.280157500E-1,4.120302636E-2,9.287456045E-2,1.104878175E-1,1.501030685E-1
2.379627500E-1,2.687810176E-2,8.933047168E-2,1.006937313E-1,1.372646825E-1
2.479097500E-1,-7.895417637E-3,6.070900887E-2,6.018305182E-2,8.584824462E-2
2.578577500E-1,-1.850193336E-2,4.336698951E-2,-1.213589609E-2,4.868569904E-2
2.678047500E-1,-1.116665157E-2,5.133997869E-2,-8.604177833E-3,5.324020469E-2
2.777517500E-1,5.943146534E-4,7.769683314E-2,2.862387478E-2,8.280384833E-2
2.876997500E-1,-1.718726458E-2,7.423975825E-2,8.955712438E-2,1.175900604E-1
2.976467500E-1,-4.144559445E-2,4.847789453E-2,1.096586823E-1,1.268576768E-1
3.075937500E-1,-8.336147862E-2,2.286434909E-2,4.622867167E-2,9.802553067E-2
3.175417500E-1,-9.301747005E-2,-1.051322065E-2,2.706910014E-2,9.744492663E-2
3.274887500E-1,-6.738475214E-2,-1.400185224E-2,2.478693187E-2,7.315154598E-2
3.374357500E-1,-2.341127846E-2,6.190502029E-3,2.385371625E-2,3.399132321E-2
3.473837500E-1,1.645112297E-2,2.994439535E-2,5.872358680E-2,6.793942821E-2
3.573307500E-1,3.789809328E-2,2.385201691E-2,6.293124318E-2,7.723681475E-2
3.672787500E-1,3.613754690E-2,1.947749561E-2,5.322369576E-2,6.721649292E-2
3.772257500E-1,8.100723429E-3,-1.127781719E-4,4.170409620E-2,4.248371545E-2
3.871727500E-1,-1.793740296E-2,-1.553371310E-2,2.971379578E-2,3.802573244E-2
3.971207500E-1,-3.370915256E-3,1.303508822E-3,2.670189500E-2,2.694537811E-2
4.070677500E-1,7.438380076E-3,2.089679757E-2,4.884530067E-2,5.364577378E-2
4.170147500E-1,2.286952936E-2,5.624535408E-2,6.396620035E-2,8.819427428E-2
4.269627500E-1,2.228168776E-2,6.539575322E-2,6.217870653E-2,9.294767180E-2
4.369097500E-1,-6.526433704E-3,6.299046451E-2,4.377401054E-2,7.698413444E-2
4.468567500E-1,-4.065830341E-2,5.113925474E-2,5.559883475E-2,8.578782802E-2
4.568047500E-1,-5.739482988E-2,4.942081288E-2,3.777769089E-2,8.463886324E-2
4.667517500E-1,-5.438372852E-2,3.725918904E-2,4.810328901E-2,8.160737411E-2
4.766987500E-1,-4.767739244E-2,4.824755078E-2,6.517131150E-2,9.406518882E-2
4.866467500E-1,-1.882296377E-2,4.731941493E-2,6.457431078E-2,8.223911847E-2
4.965937500E-1,7.764234440E-4,4.971987968E-2,5.245303273E-2,7.227717421E-2
5.065407500E-1,1.021138555E-2,3.758935573E-2,4.900726855E-2,6.260147306E-2
5.164887500E-1,1.539697962E-2,2.100977674E-2,4.106908858E-2,4.863278459E-2
5.264357500E-1,7.158595375E-3,1.421988029E-2,4.525861859E-2,4.797700533E-2
5.363827500E-1,-3.100143489E-3,2.203504946E-3,5.004982710E-2,5.019413827E-2
5.463307500E-1,-1.046365636E-2,-2.495372370E-3,3.822500288E-2,3.970977000E-2
5.562777500E-1,-8.229202288E-3,4.592695534E-3,3.732277751E-2,3.849418584E-2
5.662257500E-1,-1.959338011E-3,1.807911571E-2,4.285833657E-2,4.655674434E-2
5.761727500E-1,-1.240666785E-2,2.473677373E-2,4.554864049E-2,5.329645422E-2
5.861197500E-1,-3.309323061E-3,2.745804962E-2,4.719287753E-2,5.469976049E-2
5.960677500E-1,-3.039436600E-2,3.001348386E-2,5.826750398E-2,7.224769005E-2
6.060147500E-1,-3.800798896E-2,2.151366055E-2,4.613979399E-2,6.353208170E-2
6.159617500E-1,-3.929493371E-2,3.439694043E-2,3.940438628E-2,6.542130375E-2
6.259097500E-1,-3.372179716E-2,4.065550771E-2,5.676243067E-2,7.753711012E-2
6.358567500E-1,-1.605123737E-2,4.920526989E-2,5.615899801E-2,7.637168234E-2
6.458037500E-1,2.931867018E-3,6.589654896E-2,6.094786763E-2,8.980864980E-2
6.557517500E-1,1.999195922E-2,6.164633581E-2,5.735709250E-2,8.654354518E-2
6.656987500E-1,1.116090485E-2,5.089098562E-2,5.346869409E-2,7.465493595E-2
6.756457500E-1,7.493512924E-3,4.261896618E-2,4.583515406E-2,6.303483451E-2
6.855937500E-1,-7.827795502E-3,2.468453251E-2,4.463530540E-2,5.160340121E-2
6.955407500E-1,-1.312862083E-2,1.570627905E-2,4.762557149E-2,5.183862408E-2
7.054877500E-1,-2.312931933E-2,1.556881467E-2,4.717416644E-2,5.479740306E-2
7.154357500E-1,-1.273928306E-2,3.379727192E-3,5.315703750E-2,5.476661870E-2
7.253827500E-1,-4.861772521E-3,1.327107819E-2,3.668835461E-2,3.931658317E-2
7.353297500E-1,-6.807771572E-3,8.540552817E-3,4.207831800E-2,4.347265396E-2
7.452777500E-1,-1.913258754E-2,2.306817938E-3,4.432481825E-2,4.833287523E-2
7.552250000E-1,-2.107727554E-2,8.148789369E-3,5.016267836E-2,5.501771181E-2
7.651720000E-1,-3.308755242E-2,1.763805293E-2,4.836524427E-2,6.119709053E-2
7.751200000E-1,-2.396332871E-2,2.779028110E-2,5.569940686E-2,6.670056050E-2
7.850670000E-1,-1.402333162E-2,4.065402763E-2,4.088022351E-2,5.933461441E-2
7.950150000E-1,2.871837127E-3,3.608707812E-2,4.387575209E-2,5.688238987E-2
8.049620000E-1,1.294824336E-2,5.744469110E-2,5.001474380E-2,7.725945987E-2
8.149090000E-1,2.509634094E-3,4.814061983E-2,4.312789321E-2,6.468255339E-2
8.248570000E-1,1.398813869E-3,4.111405732E-2,4.791793227E-2,6.315418136E-2
8.348040000E-1,-5.409551561E-3,4.217053955E-2,4.028029919E-2,5.856722767E-2
8.447510000E-1,-1.592018665E-2,4.895003892E-2,3.623870373E-2,6.295079270E-2
8.546990000E-1,-1.823509019E-2,3.539712494E-2,4.012885630E-2,5.653140788E-2
8.646460000E-1,-1.701869574E-2,1.909307772E-2,4.955632210E-2,5.576746974E-2
8.745930000E-1,-1.324540526E-2,1.766456639E-2,4.581234992E-2,5.085517743E-2
8.845410000E-1,-1.838730052E-3,1.274841020E-2,5.374409795E-2,5.526600180E-2
8.944880000E-1,-1.424633894E-2,1.562936990E-2,4.670931280E-2,5.127372893E-2
9.044350000E-1,-4.397389395E-3,8.127191216E-3,5.134966314E-2,5.217447820E-2
9.143830000E-1,-5.702245818E-3,1.282592235E-2,4.401257694E-2,4.619661048E-2
9.243300000E-1,-8.786263783E-3,2.680197375E-2,4.834828734E-2,5.597411113E-2
9.342770000E-1,2.974117720E-3,2.435887914E-2,4.744957030E-2,5.341967887E-2
9.442250000E-1,-1.003304548E-3,2.883896096E-2,4.071357787E-2,4.990278261E-2
9.541720000E-1,2.030765405E-3,3.243702684E-2,5.837626219E-2,6.681371644E-2
9.641190000E-1,-7.356843394E-3,3.312418431E-2,3.787066162E-2,5.084802594E-2
9.740670000E-1,-1.165375204E-2,4.052557161E-2,5.628062010E-2,7.032524504E-2
9.840140000E-1,-1.462729418E-2,3.732272269E-2,4.610237181E-2,6.109314242E-2
9.939610000E-1,-1.807980550E-2,2.847091528E-2,4.071591675E-2,5.287020201E-2
1.003909000E0,-2.467292944E-2,2.695288673E-2,6.197171509E-2,7.194237292E-2
