"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.756416667E-3,-3.243684411E-2,-1.105272497E-1,8.265027630E-1,8.344910060E-1
1.670441669E-2,2.023613529E-1,1.602734236E-1,1.017726595E0,1.049954814E0
2.665141667E-2,2.031172700E-1,3.309886952E-1,8.411395133E-2,3.973478307E-1
3.659841669E-2,1.317300302E-1,2.759708179E-1,3.377837080E-1,4.556429815E-1
4.654641668E-2,5.733015876E-2,4.029064145E-2,6.326570392E-1,6.365257356E-1
5.649341666E-2,-1.840601344E-1,-1.700654633E-1,-1.088055736E-1,2.732014782E-1
6.644141668E-2,-1.917480535E-1,-2.800989704E-1,-8.482538205E-1,9.136505313E-1
7.638841667E-2,-1.385786821E-1,-2.327702365E-1,-5.258424425E-1,5.915203365E-1
8.633641669E-2,-7.630219455E-2,-7.105428653E-2,2.092285788E-1,2.337676939E-1
9.628341667E-2,9.086366644E-2,1.106416907E-1,4.694624197E-1,4.908082652E-1
1.062314167E-1,1.477403279E-1,2.108313372E-1,2.534563333E-1,3.612716016E-1
1.161784167E-1,1.240647416E-1,1.792044786E-1,2.678521782E-1,3.453275179E-1
1.261264167E-1,1.163281444E-1,5.979901766E-2,1.783669746E-1,2.211853009E-1
1.360735417E-1,4.946147158E-3,-7.264546009E-2,-6.570282340E-2,9.807491140E-2
1.460215417E-1,-1.617873865E-2,-1.494820216E-1,-3.877481657E-1,4.158789083E-1
1.559685417E-1,-3.735234478E-2,-1.299036250E-1,-1.515224075E-1,2.030497216E-1
1.659165417E-1,-3.112942953E-2,-7.083173602E-2,1.072741878E-1,1.322646120E-1
1.758635417E-1,2.993294760E-3,9.487573346E-3,2.214744025E-1,2.216977331E-1
1.858115417E-1,1.033079894E-2,4.018039403E-2,1.943520927E-1,1.987307863E-1
1.957585417E-1,-6.690434399E-3,1.176825240E-2,1.729775959E-1,1.735064909E-1
2.057055417E-1,-3.001880345E-2,-3.979889061E-2,5.230158985E-2,7.225328058E-2
2.156535417E-1,-6.592066873E-2,-8.518305989E-2,-6.747160614E-2,1.270988037E-1
2.256005417E-1,-4.723720217E-2,-8.722389347E-2,-1.355571699E-1,1.679735312E-1
2.355485417E-1,-2.042949084E-2,-5.788385354E-2,-6.206234694E-3,6.169620690E-2
2.454955417E-1,3.139086174E-2,2.764764559E-3,9.357708514E-2,9.874057417E-2
2.554435417E-1,6.447003391E-2,4.861023347E-2,1.298292375E-1,1.528887536E-1
2.653905417E-1,6.365960525E-2,6.463285603E-2,1.390444493E-1,1.660220175E-1
2.753385417E-1,4.766632841E-2,3.612426275E-2,7.521215022E-2,9.609322954E-2
2.852855417E-1,2.204043986E-2,-9.946333095E-3,1.402045369E-2,2.795145172E-2
2.952335417E-1,-6.245036451E-3,-3.627323885E-2,-3.766016185E-2,5.265962521E-2
3.051805417E-1,-3.430816782E-2,-4.640036968E-2,-1.617164433E-2,5.992968184E-2
3.151285417E-1,-3.648850774E-2,-3.947401383E-2,4.784835041E-2,7.196578077E-2
3.250755417E-1,-3.539378335E-2,-2.250743140E-2,9.694332719E-2,1.056281830E-1
3.350235417E-1,-2.271831717E-2,-2.891118321E-2,1.089535081E-1,1.149906317E-1
3.449705417E-1,-1.265495525E-2,-2.653560567E-2,8.400051534E-2,8.899647655E-2
3.549175417E-1,-1.020174907E-2,-3.344977372E-2,4.121468425E-2,5.405194949E-2
3.648655417E-1,-8.668885496E-4,-4.838717133E-2,2.881507874E-3,4.848064493E-2
3.748125417E-1,6.364356196E-3,-4.612492014E-2,3.148725629E-3,4.666827360E-2
3.847605417E-1,2.587699905E-2,-2.910722938E-2,3.096100688E-2,4.975373181E-2
3.947075417E-1,4.177055346E-2,-1.262437614E-2,5.280678928E-2,6.850336490E-2
4.046555417E-1,5.295748756E-2,7.831669282E-3,7.692012191E-2,9.371518386E-2
4.146025417E-1,4.908101656E-2,1.787390585E-2,6.466962039E-2,8.312991338E-2
4.245505417E-1,3.698812263E-2,1.401881830E-2,4.043934345E-2,5.656844510E-2
4.344975417E-1,1.744170525E-2,-4.159307219E-3,3.026109517E-2,3.517451918E-2
4.444455417E-1,-6.148048046E-3,-2.141224790E-2,3.668367684E-2,4.291823623E-2
4.543925417E-1,-3.042592726E-2,-2.737976088E-2,3.741691768E-2,5.545641608E-2
4.643405417E-1,-3.450669450E-2,-2.233807228E-2,5.836749136E-2,7.138953345E-2
4.742875417E-1,-3.678085025E-2,-2.865502948E-2,7.244349360E-2,8.615103845E-2
4.842355417E-1,-3.595195033E-2,-2.097752569E-2,6.661791265E-2,7.855282046E-2
4.941825417E-1,-1.964153513E-2,-2.267808787E-2,5.659812391E-2,6.405804556E-2
5.041295417E-1,-3.857730220E-3,-2.552238369E-2,3.923423231E-2,4.696380667E-2
5.140775417E-1,2.156910175E-2,-2.628072188E-2,3.682927251E-2,5.012282720E-2
5.240245417E-1,2.396357310E-2,-1.310996912E-2,3.322738767E-2,4.301375847E-2
5.339725417E-1,3.832521868E-2,-5.877411040E-3,4.055921137E-2,5.611074741E-2
5.439195417E-1,3.287462241E-2,-1.728848079E-3,5.148941159E-2,6.111374003E-2
5.538675417E-1,3.760088342E-2,-1.222195979E-3,3.592763186E-2,5.202033187E-2
5.638145417E-1,3.407492787E-2,-1.042522006E-2,4.401550055E-2,5.663170676E-2
5.737625417E-1,1.563674972E-2,-1.441104770E-2,4.072234869E-2,4.594013409E-2
5.837095417E-1,9.364955407E-4,-2.195063942E-2,4.925168216E-2,5.392991555E-2
5.936575417E-1,-1.247107859E-2,-2.271187381E-2,5.538482666E-2,6.114602225E-2
6.036045417E-1,-2.520480451E-2,-1.793755827E-2,4.490427732E-2,5.452918750E-2
6.135525417E-1,-2.858053230E-2,-2.594717477E-2,5.882649779E-2,7.036092344E-2
6.234995417E-1,-2.745936981E-2,-3.181819956E-2,4.864883423E-2,6.428937615E-2
6.334475417E-1,-1.233576808E-2,-2.084262860E-2,4.685549319E-2,5.274489153E-2
6.433945417E-1,-7.946889123E-3,-1.853354487E-2,4.775070190E-2,5.183410908E-2
6.533415417E-1,1.262552959E-2,-1.212005379E-2,4.535100460E-2,4.861083541E-2
6.632895417E-1,2.121984710E-2,-4.259623513E-3,4.475166500E-2,4.971054036E-2
6.732365417E-1,3.592736462E-2,-5.325698834E-3,4.699641109E-2,5.939529654E-2
6.831845417E-1,3.530048143E-2,-4.961645706E-3,4.310976684E-2,5.593919837E-2
6.931315417E-1,2.916589569E-2,-1.004378060E-2,3.427988648E-2,4.611548132E-2
7.030795417E-1,1.611921125E-2,-7.986647906E-3,4.176549196E-2,4.547495833E-2
7.130265417E-1,-2.311698992E-3,-1.623473944E-2,4.281331301E-2,4.584637922E-2
7.229745417E-1,-7.151656374E-3,-2.225917141E-2,4.565681398E-2,5.129484929E-2
