"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.800949998E-2,1.963845484E-1,4.949959497E-2,2.605753183E-1,3.300251464E-1
3.795750000E-2,-1.347063726E-3,-1.237709921E-1,1.049522585E-1,1.622838551E-1
4.790650000E-2,-1.412981033E-2,-2.243345315E-1,-7.199811119E-1,7.542535615E-1
5.785449999E-2,-2.417687999E-2,-1.777966701E-1,-1.381591809E-1,2.264600112E-1
6.780249998E-2,2.015418519E-2,-5.784160741E-2,3.152754360E-1,3.211704272E-1
7.775050000E-2,7.728508866E-2,5.801818418E-2,2.443802851E-1,2.627942511E-1
8.769849999E-2,8.872970682E-2,5.763446066E-2,1.793013597E-1,2.081914251E-1
9.764649998E-2,2.627984708E-2,-3.154491532E-2,1.724472535E-1,1.772675020E-1
1.075945000E-1,-4.712579444E-2,-1.240628687E-1,-2.541492283E-2,1.351234776E-1
1.175425000E-1,-6.405040026E-2,-1.737326907E-1,-1.879534847E-1,2.638408877E-1
1.274905000E-1,-4.809439028E-2,-1.429566751E-1,-4.544222116E-2,1.575267495E-1
1.374395000E-1,1.787344904E-2,-6.952357683E-2,1.323295069E-1,1.505459608E-1
1.473875000E-1,7.987511284E-2,-2.942821411E-3,1.609574747E-1,1.797108859E-1
1.573355000E-1,1.117132569E-1,1.731128493E-2,1.002733165E-1,1.511101266E-1
1.672835000E-1,1.205227725E-1,-1.291221446E-2,7.699028850E-2,1.435965476E-1
1.772315000E-1,9.847390898E-2,-5.362113283E-2,-1.776267171E-2,1.135246631E-1
1.871795000E-1,7.174890834E-2,-7.135999541E-2,-7.020868778E-2,1.231641776E-1
1.971275000E-1,5.156811603E-2,-6.717795714E-2,-3.572648764E-4,8.468929185E-2
2.070755000E-1,3.524148394E-2,-4.244587032E-2,8.750065863E-2,1.034407046E-1
