"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.812041737E-3,9.606659202E-2,9.360463100E-2,-1.115046483E-1,1.744244927E-1
8.136958349E-3,6.640284932E-2,1.181567698E-1,2.350878900E-1,2.713607869E-1
1.808495820E-2,-7.524373889E-2,1.929655398E-2,3.138726890E-1,3.233419895E-1
2.803395828E-2,-1.834264972E-1,-1.475182799E-1,4.884354651E-2,2.404009460E-1
3.798195836E-2,-7.821866060E-2,-1.117595230E-1,-2.784122497E-1,3.100350474E-1
4.793095822E-2,9.633944686E-2,9.752282280E-2,1.273289680E-1,1.870953129E-1
5.787895829E-2,-4.167058434E-2,6.662380555E-2,3.672565985E-1,3.755696715E-1
6.782795838E-2,-1.792420835E-1,-3.070499477E-2,3.664157689E-1,4.090611652E-1
7.777695823E-2,-2.752296285E-2,-7.804890862E-3,2.321344614E-3,2.870223765E-2
8.772495831E-2,6.028774439E-2,-7.388306439E-3,-1.070783061E-1,1.231054947E-1
9.767395817E-2,5.217556408E-2,-2.485363810E-2,-1.671941149E-1,1.769007204E-1
1.076219582E-1,3.126858870E-2,8.590009755E-3,3.103000402E-2,4.488177867E-2
1.175709583E-1,-3.272428044E-2,2.342028683E-2,1.883411551E-1,1.925922611E-1
1.275189582E-1,-5.199623728E-2,3.825705522E-2,1.968354052E-1,2.071506402E-1
1.374679583E-1,-3.369652622E-2,3.168541751E-2,5.011823952E-2,6.820014293E-2
1.474159583E-1,-2.836792205E-2,5.927875252E-3,-6.527656138E-2,7.142064248E-2
1.573649582E-1,-2.336916480E-2,9.407146722E-3,-4.443883896E-2,5.108250856E-2
1.673129583E-1,-4.075543114E-2,9.436371380E-3,6.589285791E-2,7.805074629E-2
1.772619584E-1,-5.284084931E-2,1.786481754E-2,1.256005311E-1,1.374292563E-1
1.872099582E-1,-1.868752764E-2,8.616073262E-3,1.225804442E-1,1.242957188E-1
1.971589583E-1,4.074842362E-3,-1.510277331E-2,2.707026958E-2,3.126495798E-2
2.071069584E-1,1.866691620E-2,-1.453577155E-2,-3.144515634E-2,3.935149644E-2
2.170559582E-1,1.969044389E-2,-4.130169356E-3,-1.361173332E-2,2.429096876E-2
2.270039583E-1,-1.176424158E-2,7.076414586E-3,6.438544571E-2,6.583280826E-2
2.369529582E-1,-3.955143462E-2,6.048126896E-3,9.820632577E-2,1.060442278E-1
2.469009582E-1,-4.500318663E-2,1.031557791E-2,8.816373289E-2,9.952156425E-2
2.568499583E-1,-3.046537313E-2,1.741885771E-2,4.834419429E-2,5.973873689E-2
2.667989582E-1,-2.200038644E-2,1.074196327E-2,1.661720216E-2,2.958949452E-2
2.767469583E-1,-6.015697690E-3,7.522972841E-3,1.647511482E-2,1.908436919E-2
