"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.599458279E-3,7.493839089E-2,1.003811794E-1,8.105123824E-1,8.201356385E-1
8.349541808E-3,-3.355190448E-1,1.441361590E-1,1.417866765E0,1.464136068E0
1.829754189E-2,-2.944516190E-1,8.775505819E-2,8.131190711E-1,8.692326098E-1
2.824654174E-2,6.920327732E-2,1.384859808E-2,6.296281815E-3,7.085563087E-2
3.819454182E-2,1.406035363E-1,-1.539331049E-1,-1.025170101E0,1.046154143E0
4.814354167E-2,1.597551044E-1,-1.063644067E-1,-7.656443578E-1,7.893328595E-1
5.809254176E-2,3.032678498E-2,-1.587496209E-3,3.627559966E-1,3.640249265E-1
6.804054184E-2,-1.279820289E-1,7.400301911E-2,7.216288573E-1,7.366166263E-1
7.798954169E-2,-8.050190695E-2,7.211510849E-2,5.358809423E-1,5.466713183E-1
8.793754177E-2,5.640418821E-2,-5.258442149E-3,-4.858860791E-2,7.463200707E-2
9.788612509E-2,1.464933178E-1,-5.203327117E-2,-5.352383333E-1,5.573578984E-1
1.078341252E-1,1.083707417E-1,-3.763286723E-2,-2.971724564E-1,3.185465730E-1
1.177831250E-1,-9.216582309E-3,1.918004592E-2,2.287389833E-1,2.297266681E-1
1.277321251E-1,-9.114698231E-2,4.802771375E-2,4.305398440E-1,4.426951445E-1
1.376801252E-1,-6.220598744E-2,1.842427502E-2,2.870035636E-1,2.942449393E-1
1.476291250E-1,1.043244685E-2,-2.343854110E-2,-1.039979929E-1,1.071157490E-1
1.575771251E-1,7.578283846E-2,-4.365085813E-2,-2.444592226E-1,2.596319462E-1
1.675261252E-1,4.532991808E-2,-2.487833573E-2,-6.444450259E-2,8.262461483E-2
1.774741251E-1,2.334884573E-3,5.656852238E-3,2.180029106E-1,2.180887909E-1
1.874231251E-1,1.058917964E-2,2.112670735E-2,2.580352879E-1,2.591151834E-1
1.973711252E-1,2.229777217E-2,3.081916622E-3,9.228017271E-2,9.498588910E-2
2.073201251E-1,6.234254734E-2,-1.639346851E-2,-9.195565224E-2,1.122995147E-1
2.172691252E-1,3.983744569E-2,-1.591147978E-2,-1.004177427E-1,1.091967047E-1
2.272171250E-1,1.518284362E-3,7.484431467E-3,4.915169477E-2,4.974144149E-2
2.371661251E-1,-4.410472540E-2,1.953356492E-2,1.549447829E-1,1.622796127E-1
2.471141252E-1,-2.895841775E-2,2.643513406E-2,1.303420383E-1,1.361119143E-1
2.570631250E-1,1.385190770E-2,6.774871848E-3,1.417014241E-2,2.094199540E-2
