"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.278291689E-3,3.097941647E-2,1.136930510E-1,4.447333753E-1,4.600800031E-1
1.122729178E-2,4.687738370E-2,1.968037389E-1,6.845633572E-1,7.138320466E-1
2.117529162E-2,1.171970864E-1,4.491361460E-2,-1.036559308E-1,1.627788125E-1
3.112429171E-2,1.846148707E-2,-2.635135807E-1,-7.842835271E-1,8.275753045E-1
4.106879164E-2,-6.432043198E-2,-3.042803317E-1,-5.908623111E-1,6.677139425E-1
5.101779173E-2,1.063624790E-1,1.099654784E-1,5.578693968E-1,5.784666345E-1
6.096579158E-2,-2.304301625E-1,6.804210252E-2,9.354001379E-1,9.657645704E-1
7.091479166E-2,-2.475807404E-1,-4.664360471E-3,4.545765781E-1,5.176464475E-1
8.086279174E-2,8.750829656E-2,3.996909484E-2,-7.644474328E-2,1.228781074E-1
9.081179160E-2,1.175628388E-1,-7.735252351E-2,-6.057539999E-1,6.218861169E-1
1.007597917E-1,1.512857506E-1,-1.821763077E-2,-3.950805742E-1,4.234476597E-1
1.107087918E-1,3.898775389E-2,3.508174532E-2,3.155502552E-1,3.198792543E-1
1.206567916E-1,-5.233607015E-2,7.093398920E-2,4.739337856E-1,4.820621621E-1
1.306057917E-1,-5.943593298E-2,3.870238693E-2,2.721697623E-1,2.812594609E-1
1.405537918E-1,2.723898003E-2,-7.258148789E-3,-8.589442849E-2,9.040185619E-2
1.505027916E-1,2.624954891E-2,-5.236808822E-2,-2.886249965E-1,2.945094975E-1
1.604507917E-1,-3.603374055E-3,-3.881816637E-2,-6.968653142E-2,7.985015345E-2
1.703997918E-1,-5.345367406E-2,-1.869986161E-2,2.319216228E-1,2.387354586E-1
1.803487916E-1,-6.998204422E-2,-2.478278400E-3,2.721013498E-1,2.809675657E-1
1.902967917E-1,-1.419100966E-2,-1.530108528E-2,1.171150517E-1,1.189598391E-1
2.002457916E-1,6.253110177E-2,-2.674076071E-2,-1.032092035E-1,1.236015641E-1
2.101937917E-1,9.608945098E-2,-2.136067820E-2,-1.155725563E-1,1.518106614E-1
2.201427917E-1,7.196159167E-2,2.052304172E-3,4.432949603E-2,8.454458496E-2
2.300907916E-1,2.263854607E-2,2.280539271E-2,1.740885669E-1,1.770294293E-1
2.400397917E-1,-1.153941614E-2,1.908177615E-2,1.385778415E-1,1.403605730E-1
2.499877918E-1,-1.919075363E-2,4.685871829E-3,2.345902920E-2,3.066868877E-2
2.599367916E-1,-3.048774786E-2,-6.845435863E-3,-4.821380138E-2,5.745375015E-2
2.698847917E-1,-3.453959422E-2,-1.025469149E-2,-7.621845603E-3,3.682709325E-2
2.798337918E-1,-2.966330873E-2,-2.388729206E-3,9.924771488E-2,1.036133525E-1
2.897817916E-1,-1.785826455E-2,-8.354666177E-4,1.296023655E-1,1.308296173E-1
