"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-2.125045285E-6,8.245304972E-3,1.084571252E-2,1.797703063E-1,1.802858219E-1
9.945875034E-3,-9.842768856E-2,1.765872375E-2,5.291771096E-1,5.385427130E-1
1.989487512E-2,-1.052802142E-2,1.453930729E-2,1.771495843E-1,1.780567491E-1
2.984387497E-2,3.166301080E-2,-4.784993098E-2,-1.446589458E-1,1.556225329E-1
3.979187505E-2,1.198061779E-1,-2.304417838E-2,-2.271988267E-1,2.578834257E-1
4.974087491E-2,2.042761333E-2,-2.270506272E-2,-1.204409480E-2,3.283089214E-2
5.968987499E-2,-4.171613781E-3,3.836180489E-2,2.678434074E-1,2.706087976E-1
6.963887508E-2,-1.922899808E-2,4.358165542E-2,2.069972813E-1,2.124076023E-1
7.958687493E-2,2.621825717E-2,7.898044316E-3,-3.181470037E-3,2.756624503E-2
8.953587501E-2,9.091439104E-2,1.447391897E-2,-1.098621655E-1,1.433339326E-1
9.948487510E-2,4.767703612E-2,-1.739775063E-3,-3.931667805E-2,6.182174183E-2
1.094328749E-1,2.190436419E-2,1.896989790E-2,1.280335575E-1,1.312716651E-1
1.193818750E-1,-1.041283127E-2,7.184971799E-3,1.760456300E-1,1.764996167E-1
1.293308751E-1,-2.348177852E-3,-1.215349255E-2,6.764877677E-2,6.877192973E-2
1.392798750E-1,1.026628543E-2,-2.923106245E-2,-3.861208856E-2,4.950499986E-2
1.492278751E-1,-2.643672377E-3,-1.867743662E-2,-2.047110200E-2,2.783705551E-2
1.591768751E-1,-1.813625397E-2,3.867238797E-3,6.260613799E-2,6.529477589E-2
1.691258750E-1,-6.954148393E-3,8.085662280E-3,1.378761756E-1,1.382880252E-1
1.790738751E-1,2.661911122E-2,2.808572081E-2,8.052434564E-2,8.933954911E-2
1.890228749E-1,6.187446859E-2,4.444404664E-3,1.182540894E-2,6.315095322E-2
1.989718750E-1,6.423244053E-2,1.301467778E-2,-8.206567168E-3,6.604949658E-2
2.089208751E-1,2.927659764E-2,1.349949875E-2,4.464583039E-2,5.506910030E-2
2.188688749E-1,-8.790247198E-3,2.341469086E-2,1.067572939E-1,1.096477816E-1
2.288178750E-1,-1.605687445E-2,2.331286708E-2,9.251932383E-2,9.675297551E-2
2.387668751E-1,-8.430332802E-3,2.806343744E-4,3.563293219E-2,3.661768866E-2
2.487148750E-1,1.670304660E-2,-1.752054673E-2,8.999449611E-3,2.582540255E-2
2.586638751E-1,2.189797794E-2,-1.739311854E-2,3.325837791E-2,4.345298277E-2
2.686128751E-1,1.882769636E-2,-6.798356641E-3,6.783062518E-2,7.072265206E-2
2.785618750E-1,1.197913589E-2,-4.610570655E-3,8.144294322E-2,8.244822653E-2
2.885098751E-1,2.367609794E-2,-2.561071320E-3,4.506390631E-2,5.096932756E-2
2.984588749E-1,3.956571462E-2,-1.388786808E-3,1.752585948E-2,4.329584567E-2
3.084078750E-1,2.534360508E-2,-2.142456360E-6,4.133279800E-2,4.848400266E-2
3.183558751E-1,1.473011381E-2,8.159775739E-3,6.962396622E-2,7.163138184E-2
3.283048749E-1,1.736683348E-2,1.411585924E-2,7.530687511E-2,7.856201261E-2
3.382538750E-1,1.874323150E-2,1.277614336E-2,5.000655770E-2,5.491078564E-2
3.482028751E-1,2.833383461E-2,4.402359528E-3,3.773442149E-2,4.739275808E-2
3.581508750E-1,3.297420323E-2,5.977361882E-3,2.711061537E-2,4.310466796E-2
3.680998750E-1,2.036862954E-2,7.513192459E-3,5.615139663E-2,6.020222981E-2
3.780488751E-1,8.125318279E-3,-6.641477672E-4,6.138816297E-2,6.192712202E-2
3.879968750E-1,4.443335719E-4,-5.656801988E-3,6.333119273E-2,6.358487881E-2
3.979458751E-1,2.899204837E-3,4.966844246E-4,4.956041515E-2,4.964762667E-2
4.078948749E-1,1.098833433E-2,-2.124444195E-3,4.986037731E-2,5.110101741E-2
4.178438750E-1,2.439216259E-2,-3.079152899E-3,4.985920787E-2,5.559136073E-2
4.277918751E-1,2.545148620E-2,6.479537208E-4,5.524566293E-2,6.082993725E-2
4.377408749E-1,3.543388931E-2,-2.540797926E-4,5.404756844E-2,6.462789431E-2
4.476898750E-1,3.060583421E-2,6.141111329E-3,5.928842783E-2,6.700408951E-2
4.576388751E-1,2.445590638E-2,7.452966138E-3,4.417220592E-2,5.103745524E-2
4.675868750E-1,2.443774346E-2,6.033230200E-3,5.659636974E-2,6.194152275E-2
4.775358750E-1,2.462634358E-2,4.384434158E-3,6.288212657E-2,6.767452920E-2
